,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,LI1,0.7222222222222222,1.0,0.8387096774193548,348,39,39,15,0,13,67
1,LI1,0.6904761904761905,0.9666666666666667,0.8055555555555556,348,30,29,13,1,24,67
2,LI1,0.6862745098039216,1.0,0.813953488372093,348,35,35,16,0,16,67
3,LI1,0.6666666666666666,0.972972972972973,0.7912087912087912,348,37,36,18,1,12,67
4,LI1,0.7,0.9722222222222222,0.813953488372093,348,36,35,15,1,16,67
5,LI1,0.7647058823529411,0.975,0.857142857142857,348,40,39,12,1,15,67
6,LI1,0.5714285714285714,1.0,0.7272727272727273,348,28,28,21,0,17,66
7,LI1,0.7,0.9722222222222222,0.813953488372093,348,36,35,15,1,15,66
8,LI1,0.7045454545454546,0.9117647058823529,0.794871794871795,348,34,31,13,3,19,66
9,LI1,0.6808510638297872,0.9696969696969697,0.7999999999999999,348,33,32,15,1,18,66
10,CM,0.7741935483870968,1.0,0.8727272727272727,295,24,24,7,0,36,67
11,CM,0.8571428571428571,1.0,0.923076923076923,295,42,42,7,0,18,67
12,CM,0.825,1.0,0.9041095890410958,295,33,33,7,0,27,67
13,CM,0.6388888888888888,1.0,0.7796610169491525,295,23,23,13,0,31,67
14,CM,0.6842105263157895,1.0,0.8125000000000001,295,26,26,12,0,29,67
15,CM,0.6153846153846154,1.0,0.761904761904762,295,24,24,15,0,28,67
16,CM,0.75,0.967741935483871,0.8450704225352113,295,31,30,10,1,25,66
17,CM,0.7272727272727273,1.0,0.8421052631578948,295,32,32,12,0,22,66
18,CM,0.7714285714285715,1.0,0.870967741935484,295,27,27,8,0,31,66
19,CM,0.8461538461538461,1.0,0.9166666666666666,295,33,33,6,0,27,66
20,I1,0.25,0.1111111111111111,0.15384615384615383,177,18,2,6,16,43,67
21,I1,0.5,0.05555555555555555,0.09999999999999999,177,18,1,1,17,48,67
22,I1,0.0,0.0,0.0,177,16,0,1,16,50,67
23,I1,1.0,0.047619047619047616,0.0909090909090909,177,21,1,0,20,46,67
24,I1,0.16666666666666666,0.05,0.07692307692307691,177,20,1,5,19,42,67
25,I1,0.3333333333333333,0.0625,0.10526315789473684,177,16,1,2,15,49,67
26,I1,0.3333333333333333,0.25,0.28571428571428575,177,16,4,8,12,42,66
27,I1,0.5,0.11764705882352941,0.19047619047619047,177,17,2,2,15,47,66
28,I1,0.3333333333333333,0.0625,0.10526315789473684,177,16,1,2,15,48,66
29,I1,1.0,0.05263157894736842,0.1,177,19,1,0,18,47,66
30,F1,0.0,0.0,0.0,149,10,0,0,10,57,67
31,F1,0.6666666666666666,0.125,0.21052631578947367,149,16,2,1,14,50,67
32,F1,0.25,0.09090909090909091,0.13333333333333333,149,11,1,3,10,53,67
33,F1,0.0,0.0,0.0,149,21,0,0,21,46,67
34,F1,0.0,0.0,0.0,149,9,0,2,9,56,67
35,F1,0.0,0.0,0.0,149,15,0,0,15,52,67
36,F1,0.0,0.0,0.0,149,13,0,6,13,47,66
37,F1,0.0,0.0,0.0,149,22,0,0,22,44,66
38,F1,0.0,0.0,0.0,149,12,0,0,12,54,66
39,F1,0.0,0.0,0.0,149,20,0,0,20,46,66
40,SP1,0.0,0.0,0.0,89,8,0,0,8,59,67
41,SP1,0.4,0.4444444444444444,0.4210526315789474,89,9,4,6,5,52,67
42,SP1,0.0,0.0,0.0,89,11,0,0,11,56,67
43,SP1,0.0,0.0,0.0,89,8,0,0,8,59,67
44,SP1,0.0,0.0,0.0,89,13,0,0,13,54,67
45,SP1,0.0,0.0,0.0,89,8,0,0,8,59,67
46,SP1,0.0,0.0,0.0,89,7,0,0,7,59,66
47,SP1,1.0,0.1,0.18181818181818182,89,10,1,0,9,56,66
48,SP1,0.0,0.0,0.0,89,8,0,0,8,58,66
49,SP1,0.0,0.0,0.0,89,7,0,2,7,57,66
50,L2,0.0,0.0,0.0,82,7,0,1,7,59,67
51,L2,0.5,0.14285714285714285,0.22222222222222224,82,7,1,1,6,59,67
52,L2,0.25,0.125,0.16666666666666666,82,8,1,3,7,56,67
53,L2,0.0,0.0,0.0,82,8,0,0,8,59,67
54,L2,0.6666666666666666,0.18181818181818182,0.28571428571428575,82,11,2,1,9,55,67
55,L2,1.0,0.2222222222222222,0.3636363636363636,82,9,2,0,7,58,67
56,L2,0.4,0.6666666666666666,0.5,82,3,2,3,1,60,66
57,L2,1.0,0.1,0.18181818181818182,82,10,1,0,9,56,66
58,L2,1.0,0.1,0.18181818181818182,82,10,1,0,9,56,66
59,L2,1.0,0.1111111111111111,0.19999999999999998,82,9,1,0,8,57,66
60,FP5,0.0,0.0,0.0,34,3,0,0,3,64,67
61,FP5,0.0,0.0,0.0,34,4,0,0,4,63,67
62,FP5,0.0,0.0,0.0,34,3,0,0,3,64,67
63,FP5,0.0,0.0,0.0,34,1,0,0,1,66,67
64,FP5,0.0,0.0,0.0,34,5,0,0,5,62,67
65,FP5,0.0,0.0,0.0,34,0,0,0,0,67,67
66,FP5,0.0,0.0,0.0,34,3,0,0,3,63,66
67,FP5,0.0,0.0,0.0,34,4,0,0,4,62,66
68,FP5,0.0,0.0,0.0,34,5,0,0,5,61,66
69,FP5,0.0,0.0,0.0,34,6,0,0,6,60,66
70,OTHER,0.0,0.0,0.0,27,1,0,0,1,66,67
71,OTHER,0.0,0.0,0.0,27,3,0,0,3,64,67
72,OTHER,0.0,0.0,0.0,27,2,0,0,2,65,67
73,OTHER,0.0,0.0,0.0,27,1,0,0,1,66,67
74,OTHER,0.0,0.0,0.0,27,2,0,0,2,65,67
75,OTHER,0.0,0.0,0.0,27,5,0,0,5,62,67
76,OTHER,0.0,0.0,0.0,27,1,0,0,1,65,66
77,OTHER,0.0,0.0,0.0,27,3,0,0,3,63,66
78,OTHER,0.0,0.0,0.0,27,4,0,0,4,62,66
79,OTHER,0.0,0.0,0.0,27,5,0,0,5,61,66
80,LI2,0.0,0.0,0.0,72,8,0,0,8,59,67
81,LI2,0.0,0.0,0.0,72,8,0,0,8,59,67
82,LI2,0.0,0.0,0.0,72,8,0,1,8,58,67
83,LI2,0.0,0.0,0.0,72,8,0,0,8,59,67
84,LI2,0.0,0.0,0.0,72,6,0,0,6,61,67
85,LI2,0.0,0.0,0.0,72,5,0,0,5,62,67
86,LI2,0.0,0.0,0.0,72,12,0,0,12,54,66
87,LI2,0.0,0.0,0.0,72,7,0,0,7,59,66
88,LI2,0.0,0.0,0.0,72,5,0,0,5,61,66
89,LI2,0.0,0.0,0.0,72,5,0,0,5,61,66
90,I7,0.0,0.0,0.0,34,4,0,0,4,63,67
91,I7,0.0,0.0,0.0,34,3,0,0,3,64,67
