,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,CM,0.747930303688384,0.9890827922077922,0.8489933015534152,295,29.5,29.1,9.7,0.4,27.4,66.6
1,LI1,0.7045204071932796,0.898082477494242,0.7763926682502955,348,34.8,31.0,14.3,3.8,17.5,66.6
2,SP1,0.27743521501363544,0.8319036519036519,0.40937371442420406,89,8.9,7.4,17.4,1.5,40.3,66.6
3,F1,0.25290566357091365,0.5189933677433677,0.31726415558888543,149,14.9,8.0,26.1,6.9,25.6,66.6
4,I1,0.22846495846495846,0.4163039952823235,0.2925474439359356,177,17.7,7.2,24.1,10.5,24.8,66.6
5,LI2,0.2110328077719382,0.395,0.2413135874342771,72,7.199999999999999,3.3,8.1,3.9,51.3,66.6
6,L2,0.20862433862433863,0.3896536796536797,0.2346703296703297,82,8.2,2.8,9.6,5.4,48.8,66.6
7,L1,0.1274242424242424,0.18333333333333332,0.1437179487179487,23,2.3,0.5,6.3,1.8,58.0,66.6
8,T1,0.06608391608391609,0.15833333333333333,0.0683819628647215,16,1.6,0.5,23.3,1.1,41.7,66.6
9,CP1,0.054945343310749316,0.7,0.10093456494772284,18,1.8,1.5,22.6,0.3,42.2,66.6
10,F2,0.05,0.0125,0.02,53,5.3,0.1,8.7,5.2,52.6,66.6
11,OTHER,0.04504513733393044,0.6016666666666667,0.08153512549717483,27,2.7,1.2,22.9,1.5,41.0,66.6
12,main,0.03470039899106316,0.08920989208908664,0.042283148229097026,0,0.0,0.0,0.0,0.0,0.0,0.0
13,I7,0.034347826086956516,0.12333333333333332,0.053476190476190476,34,3.4,0.4,20.2,3.0,43.0,66.6
14,I5,0.03333333333333333,0.05,0.04,17,1.7000000000000002,0.1,20.6,1.6,44.3,66.6
15,MM4,0.03333333333333333,0.05,0.04,14,1.4000000000000001,0.1,20.1,1.3,45.1,66.6
16,MM7,0.03189655172413793,0.15,0.046236559139784944,24,2.4,0.3,19.5,2.1,44.7,66.6
17,PB1,0.020792582417582417,0.45,0.03959169370934077,6,0.6,0.5,21.8,0.1,44.2,66.6
18,FP1,0.015820652173913045,0.18333333333333332,0.02912169312169312,20,2.0,0.4,22.9,1.6,41.7,66.6
19,D2,0.014000000000000002,0.08333333333333333,0.02279202279202279,10,1.0,0.2,20.9,0.8,44.7,66.6
