,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,CM,0.7545041108803741,0.9718086684820555,0.8462550094517287,295,29.5,28.5,9.2,1.0,27.9,66.6
1,LI1,0.7261213477046345,0.9320879050290817,0.8135667657571879,348,34.8,32.4,12.3,2.4,19.5,66.6
2,I1,0.4595938098559582,0.36757273084672465,0.4016385022820135,177,17.7,6.6,8.0,11.1,40.9,66.6
3,F1,0.4141059757236228,0.22186549561549565,0.25444926659477285,149,14.9,3.1,5.7,11.8,46.0,66.6
4,SP1,0.4003787878787879,0.1988070263070263,0.2088225108225108,89,8.9,1.8,2.6,7.1,55.1,66.6
5,L2,0.3502380952380952,0.25163780663780666,0.2693406593406593,82,8.200000000000001,1.8,2.3,6.4,56.1,66.6
6,L1,0.25,0.1,0.13999999999999999,23,2.3,0.3,0.3,2.0,64.0,66.6
7,LI2,0.2333333333333333,0.14797619047619046,0.1622222222222222,72,7.199999999999999,1.1,3.1,6.1,56.3,66.6
8,I7,0.20833333333333334,0.2033333333333333,0.16690476190476194,34,3.4,0.6,1.6,2.8,61.6,66.6
9,F2,0.15,0.0375,0.05555555555555556,53,5.3,0.2,0.8,5.1,60.5,66.6
10,MM7,0.14166666666666666,0.225,0.14833333333333334,24,2.4,0.5,1.4,1.9,62.8,66.6
11,MM4,0.1,0.05,0.06666666666666667,14,1.4000000000000001,0.1,0.7,1.3,64.5,66.6
12,D2,0.1,0.03333333333333333,0.05,10,1.0,0.1,0.0,0.9,65.6,66.6
13,CC4,0.1,0.1,0.1,4,0.4,0.1,0.1,0.3,66.1,66.6
14,FP5,0.06999999999999999,0.05333333333333333,0.05357142857142858,34,3.4000000000000004,0.2,0.8,3.2,62.4,66.6
15,main,0.04829686875213053,0.04223214147019047,0.04054473135307716,0,0.0,0.0,0.0,0.0,0.0,0.0
16,I8,0.03333333333333333,0.03333333333333333,0.03333333333333333,22,2.2,0.1,0.2,2.1,64.2,66.6
17,SP4,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
18,O1,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
19,NB4,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
20,NB3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
21,SS9,0.0,0.0,0.0,4,0.4,0.0,0.1,0.4,66.1,66.6
22,T1,0.0,0.0,0.0,16,1.6,0.0,0.1,1.6,64.9,66.6
23,NB1,0.0,0.0,0.0,21,2.1,0.0,0.0,2.1,64.5,66.6
24,T2,0.0,0.0,0.0,4,0.4,0.0,0.2,0.4,66.0,66.6
25,N1,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
26,MM9,0.0,0.0,0.0,15,1.5,0.0,0.3,1.5,64.8,66.6
27,T3,0.0,0.0,0.0,20,2.0,0.0,0.3,2.0,64.3,66.6
28,MM8,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
29,W1,0.0,0.0,0.0,4,0.4,0.0,0.1,0.4,66.1,66.6
30,W2,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
31,MM6,0.0,0.0,0.0,20,2.0,0.0,0.1,2.0,64.5,66.6
32,MM5,0.0,0.0,0.0,18,1.8,0.0,0.1,1.8,64.7,66.6
33,NB5,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
34,SS8,0.0,0.0,0.0,2,0.2,0.0,0.1,0.2,66.3,66.6
35,SP3,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
36,OTHER,0.0,0.0,0.0,27,2.7,0.0,0.1,2.7,63.8,66.6
37,SP2,0.0,0.0,0.0,10,1.0,0.0,0.1,1.0,65.5,66.6
38,SS1,0.0,0.0,0.0,3,0.3,0.0,0.2,0.3,66.1,66.6
39,SS2,0.0,0.0,0.0,2,0.2,0.0,0.1,0.2,66.3,66.6
40,SS4,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
41,SA1,0.0,0.0,0.0,2,0.2,0.0,0.1,0.2,66.3,66.6
42,S2,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
43,RD7,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
44,RD2,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
45,MM3,0.0,0.0,0.0,8,0.8,0.0,0.2,0.8,65.6,66.6
46,R4,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
47,PN6,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
48,SS6,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
49,PN1,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
50,PB6,0.0,0.0,0.0,6,0.6,0.0,0.3,0.6,65.7,66.6
51,PB1,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
52,RD1,0.0,0.0,0.0,2,0.2,0.0,0.1,0.2,66.3,66.6
53,LI1F2,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
54,MM2,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
55,MM1,0.0,0.0,0.0,32,3.2,0.0,0.0,3.2,63.4,66.6
56,F6,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
57,F4,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
58,F3,0.0,0.0,0.0,9,0.9,0.0,0.2,0.9,65.5,66.6
59,E1,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
60,D3,0.0,0.0,0.0,4,0.4,0.0,0.2,0.4,66.0,66.6
61,CP5,0.0,0.0,0.0,35,3.5,0.0,0.1,3.5,63.0,66.6
62,CP4,0.0,0.0,0.0,12,1.2,0.0,0.1,1.2,65.3,66.6
63,CP2,0.0,0.0,0.0,12,1.2,0.0,0.1,1.2,65.3,66.6
64,CP1,0.0,0.0,0.0,18,1.8,0.0,0.2,1.8,64.6,66.6
65,CM1,0.0,0.0,0.0,3,0.3,0.0,0.2,0.3,66.1,66.6
66,CC3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
67,CC2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
68,CC1,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
69,C1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
70,AR9,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
71,AP3,0.0,0.0,0.0,5,0.5,0.0,0.1,0.5,66.0,66.6
72,AP2,0.0,0.0,0.0,3,0.3,0.0,0.1,0.3,66.2,66.6
73,FC1,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
74,FP1,0.0,0.0,0.0,20,2.0,0.0,0.7,2.0,63.9,66.6
75,FP2,0.0,0.0,0.0,15,1.5,0.0,0.1,1.5,65.0,66.6
76,I6,0.0,0.0,0.0,40,4.0,0.0,0.3,4.0,62.3,66.6
77,LL2,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
78,LL1,0.0,0.0,0.0,5,0.5,0.0,0.2,0.5,65.9,66.6
79,LITERACY,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
80,AP1,0.0,0.0,0.0,2,0.2,0.0,0.1,0.2,66.3,66.6
81,L7,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
82,L3,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
83,L12,0.0,0.0,0.0,7,0.7,0.0,0.0,0.7,65.9,66.6
84,I5,0.0,0.0,0.0,17,1.7,0.0,0.1,1.7,64.8,66.6
85,FP3,0.0,0.0,0.0,4,0.4,0.0,0.2,0.4,66.0,66.6
86,I3,0.0,0.0,0.0,10,1.0,0.0,0.4,1.0,65.2,66.6
87,I2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
88,H3,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
