,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,L2,0.8333333333333334,0.2,0.3225806451612903,82,25,5,1,20,108,134
1,CM,0.6904761904761905,1.0,0.8169014084507042,295,58,58,26,0,50,134
2,LI1,0.6526315789473685,0.9117647058823529,0.7607361963190185,348,68,62,33,6,33,134
3,I1,0.34782608695652173,0.21621621621621623,0.26666666666666666,177,37,8,15,29,82,134
4,F1,0.25,0.11428571428571428,0.1568627450980392,149,35,4,12,31,87,134
5,SP1,0.2,0.058823529411764705,0.0909090909090909,89,17,1,4,16,113,134
6,main,0.031981367631327036,0.02689344264296826,0.025964051103277527,0,0,0,0,0,0,0
7,NB1,0.0,0.0,0.0,21,1,0,0,1,133,134
8,PB1,0.0,0.0,0.0,6,2,0,0,2,132,134
9,OTHER,0.0,0.0,0.0,27,7,0,0,7,127,134
10,O1,0.0,0.0,0.0,1,1,0,0,1,133,134
11,NB5,0.0,0.0,0.0,4,1,0,0,1,133,134
12,NB4,0.0,0.0,0.0,1,0,0,0,0,134,134
13,NB3,0.0,0.0,0.0,3,1,0,0,1,133,134
14,MM9,0.0,0.0,0.0,15,2,0,0,2,132,134
15,N1,0.0,0.0,0.0,1,0,0,0,0,134,134
16,PN1,0.0,0.0,0.0,1,0,0,0,0,134,134
17,MM8,0.0,0.0,0.0,8,1,0,0,1,133,134
18,MM7,0.0,0.0,0.0,24,4,0,0,4,130,134
19,MM6,0.0,0.0,0.0,20,4,0,0,4,130,134
20,MM5,0.0,0.0,0.0,18,5,0,0,5,129,134
21,MM4,0.0,0.0,0.0,14,5,0,0,5,129,134
22,MM3,0.0,0.0,0.0,8,3,0,0,3,131,134
23,MM2,0.0,0.0,0.0,6,2,0,0,2,132,134
24,MM1,0.0,0.0,0.0,32,6,0,0,6,128,134
25,PB6,0.0,0.0,0.0,6,3,0,0,3,131,134
26,R4,0.0,0.0,0.0,1,0,0,0,0,134,134
27,PN6,0.0,0.0,0.0,1,0,0,0,0,134,134
28,LL1,0.0,0.0,0.0,5,1,0,0,1,133,134
29,W2,0.0,0.0,0.0,3,1,0,0,1,133,134
30,W1,0.0,0.0,0.0,4,1,0,0,1,133,134
31,T3,0.0,0.0,0.0,20,6,0,0,6,128,134
32,T2,0.0,0.0,0.0,4,0,0,0,0,134,134
33,T1,0.0,0.0,0.0,16,5,0,0,5,129,134
34,SS9,0.0,0.0,0.0,4,0,0,0,0,134,134
35,SS8,0.0,0.0,0.0,2,0,0,0,0,134,134
36,SS6,0.0,0.0,0.0,1,0,0,0,0,134,134
37,SS4,0.0,0.0,0.0,1,1,0,0,1,133,134
38,SS2,0.0,0.0,0.0,2,0,0,0,0,134,134
39,SS1,0.0,0.0,0.0,3,1,0,0,1,133,134
40,SP4,0.0,0.0,0.0,8,1,0,0,1,133,134
41,SP3,0.0,0.0,0.0,1,0,0,0,0,134,134
42,SP2,0.0,0.0,0.0,10,3,0,0,3,131,134
43,SA1,0.0,0.0,0.0,2,1,0,0,1,133,134
44,S2,0.0,0.0,0.0,1,0,0,0,0,134,134
45,RD7,0.0,0.0,0.0,1,0,0,0,0,134,134
46,RD2,0.0,0.0,0.0,1,0,0,0,0,134,134
47,RD1,0.0,0.0,0.0,2,2,0,0,2,132,134
48,LL2,0.0,0.0,0.0,1,0,0,0,0,134,134
49,LI1F2,0.0,0.0,0.0,1,0,0,0,0,134,134
50,LITERACY,0.0,0.0,0.0,2,2,0,0,2,132,134
51,LI2,0.0,0.0,0.0,72,17,0,0,17,117,134
52,F4,0.0,0.0,0.0,1,1,0,0,1,133,134
53,F3,0.0,0.0,0.0,9,4,0,0,4,130,134
54,F2,0.0,0.0,0.0,53,9,0,0,9,125,134
55,E1,0.0,0.0,0.0,1,0,0,0,0,134,134
56,D3,0.0,0.0,0.0,4,0,0,0,0,134,134
57,D2,0.0,0.0,0.0,10,3,0,0,3,131,134
58,CP5,0.0,0.0,0.0,35,7,0,0,7,127,134
59,CP4,0.0,0.0,0.0,12,4,0,0,4,130,134
60,CP2,0.0,0.0,0.0,12,3,0,0,3,131,134
61,CP1,0.0,0.0,0.0,18,1,0,0,1,133,134
62,CM1,0.0,0.0,0.0,3,0,0,0,0,134,134
63,CC4,0.0,0.0,0.0,4,1,0,0,1,133,134
64,CC3,0.0,0.0,0.0,3,0,0,0,0,134,134
65,CC2,0.0,0.0,0.0,1,0,0,0,0,134,134
66,CC1,0.0,0.0,0.0,4,1,0,0,1,133,134
67,C1,0.0,0.0,0.0,1,0,0,0,0,134,134
68,AR9,0.0,0.0,0.0,1,0,0,0,0,134,134
69,AP3,0.0,0.0,0.0,5,0,0,0,0,134,134
70,AP2,0.0,0.0,0.0,3,1,0,0,1,133,134
