,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,LI1,0.8484848484848485,0.717948717948718,0.7777777777777778,348,39,28,5,11,23,67
1,LI1,0.8095238095238095,0.5666666666666667,0.6666666666666666,348,30,17,4,13,33,67
2,LI1,0.8518518518518519,0.6571428571428571,0.7419354838709677,348,35,23,4,12,28,67
3,LI1,0.7741935483870968,0.6486486486486487,0.7058823529411764,348,37,24,7,13,23,67
4,LI1,0.896551724137931,0.7222222222222222,0.7999999999999999,348,36,26,3,10,28,67
5,LI1,0.8928571428571429,0.625,0.7352941176470589,348,40,25,3,15,24,67
6,LI1,0.7692307692307693,0.7142857142857143,0.7407407407407408,348,28,20,6,8,32,66
7,LI1,0.8181818181818182,0.5,0.6206896551724137,348,36,18,4,18,26,66
8,LI1,0.7741935483870968,0.7058823529411765,0.7384615384615385,348,34,24,7,10,25,66
9,LI1,0.7037037037037037,0.5757575757575758,0.6333333333333334,348,33,19,8,14,25,66
10,CM,0.7666666666666667,0.9583333333333334,0.8518518518518519,295,24,23,7,1,36,67
11,CM,0.9210526315789473,0.8333333333333334,0.875,295,42,35,3,7,22,67
12,CM,0.8461538461538461,1.0,0.9166666666666666,295,33,33,6,0,28,67
13,CM,0.6285714285714286,0.9565217391304348,0.7586206896551724,295,23,22,13,1,31,67
14,CM,0.7027027027027027,1.0,0.8253968253968255,295,26,26,11,0,30,67
15,CM,0.631578947368421,1.0,0.7741935483870968,295,24,24,14,0,29,67
16,CM,0.7692307692307693,0.967741935483871,0.8571428571428572,295,31,30,9,1,26,66
17,CM,0.7073170731707317,0.90625,0.7945205479452054,295,32,29,12,3,22,66
18,CM,0.7647058823529411,0.9629629629629629,0.8524590163934426,295,27,26,8,1,31,66
19,CM,0.8421052631578947,0.9696969696969697,0.9014084507042254,295,33,32,6,1,27,66
20,I1,0.375,0.5,0.42857142857142855,177,18,9,15,9,34,67
21,I1,0.34615384615384615,0.5,0.40909090909090906,177,18,9,17,9,32,67
22,I1,0.3548387096774194,0.6875,0.4680851063829787,177,16,11,20,5,31,67
23,I1,0.5416666666666666,0.6190476190476191,0.5777777777777778,177,21,13,11,8,35,67
24,I1,0.4074074074074074,0.55,0.46808510638297873,177,20,11,16,9,31,67
25,I1,0.23076923076923078,0.375,0.2857142857142857,177,16,6,20,10,31,67
26,I1,0.3333333333333333,0.6875,0.4489795918367347,177,16,11,22,5,28,66
27,I1,0.3,0.5294117647058824,0.3829787234042553,177,17,9,21,8,28,66
28,I1,0.4,0.75,0.5217391304347827,177,16,12,18,4,32,66
29,I1,0.5,0.7894736842105263,0.6122448979591837,177,19,15,15,4,32,66
30,F1,0.3181818181818182,0.7,0.4375,149,10,7,15,3,42,67
31,F1,0.25,0.3125,0.2777777777777778,149,16,5,15,11,36,67
32,F1,0.3333333333333333,0.7272727272727273,0.4571428571428572,149,11,8,16,3,40,67
33,F1,0.5,0.5714285714285714,0.5333333333333333,149,21,12,12,9,34,67
34,F1,0.11538461538461539,0.3333333333333333,0.17142857142857146,149,9,3,23,6,35,67
35,F1,0.29411764705882354,0.3333333333333333,0.3125,149,15,5,12,10,40,67
36,F1,0.24,0.46153846153846156,0.3157894736842105,149,13,6,19,7,34,66
37,F1,0.7142857142857143,0.45454545454545453,0.5555555555555556,149,22,10,4,12,40,66
38,F1,0.25,0.5,0.3333333333333333,149,12,6,18,6,36,66
39,F1,0.3333333333333333,0.4,0.3636363636363636,149,20,8,16,12,30,66
40,SP1,0.21428571428571427,0.75,0.3333333333333333,89,8,6,22,2,37,67
41,SP1,0.35294117647058826,0.6666666666666666,0.46153846153846156,89,9,6,11,3,47,67
42,SP1,0.34615384615384615,0.8181818181818182,0.4864864864864865,89,11,9,17,2,39,67
43,SP1,0.21428571428571427,0.75,0.3333333333333333,89,8,6,22,2,37,67
