,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,CM,0.7895369466443944,0.878893241160948,0.8231185402626888,295,29.5,25.5,6.9,4.0,30.2,66.6
1,LI1,0.7327330814142321,0.8068100866630278,0.7659174898476449,348,34.8,27.9,10.2,6.9,21.6,66.6
2,L2,0.5366666666666667,0.2531096681096681,0.3279271218977101,82,8.2,2.1,1.9,6.1,56.5,66.6
3,I1,0.3951126651126652,0.22580169787213134,0.28302591374143093,177,17.7,4.0,6.0,13.7,42.9,66.6
4,F1,0.3057936507936508,0.1317439504939505,0.17516294406497143,149,14.9,2.0,4.2,12.9,47.5,66.6
5,I7,0.3,0.12833333333333333,0.16857142857142857,34,3.4,0.4,0.5,3.0,62.7,66.6
6,MM7,0.3,0.125,0.17333333333333334,24,2.4,0.3,0.1,2.1,64.1,66.6
7,SP1,0.26,0.11246753246753247,0.14666666666666667,89,8.9,1.0,2.8,7.9,54.9,66.6
8,MM6,0.2,0.13333333333333333,0.15,20,2.0,0.2,0.1,1.8,64.5,66.6
9,LI2,0.18916666666666665,0.09416666666666666,0.1188605512134924,72,7.2,0.7,2.4,6.5,57.0,66.6
10,F2,0.1,0.025,0.04,53,5.3,0.2,1.1,5.1,60.2,66.6
11,FP5,0.1,0.03333333333333333,0.05,34,3.4,0.1,0.7,3.3,62.5,66.6
12,I6,0.05,0.014285714285714285,0.022222222222222223,40,4.0,0.1,0.8,3.9,61.8,66.6
13,main,0.0457958029817019,0.03185245760988859,0.03489038937442569,0,0.0,0.0,0.0,0.0,0.0,0.0
14,MM9,0.0,0.0,0.0,15,1.5,0.0,0.2,1.5,64.9,66.6
15,N1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
16,PB6,0.0,0.0,0.0,6,0.6,0.0,0.1,0.6,65.9,66.6
17,NB1,0.0,0.0,0.0,21,2.1,0.0,0.3,2.1,64.2,66.6
18,MM8,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
19,NB3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
20,MM5,0.0,0.0,0.0,18,1.8,0.0,0.0,1.8,64.8,66.6
21,MM4,0.0,0.0,0.0,14,1.4,0.0,0.2,1.4,65.0,66.6
22,NB4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
23,MM3,0.0,0.0,0.0,8,0.8,0.0,0.1,0.8,65.7,66.6
24,NB5,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
25,O1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
26,OTHER,0.0,0.0,0.0,27,2.7,0.0,0.3,2.7,63.6,66.6
27,PB1,0.0,0.0,0.0,6,0.6,0.0,0.2,0.6,65.8,66.6
