,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,CM,0.7523364350771861,0.9915584415584415,0.8528479099838364,295,29.5,29.2,9.5,0.3,27.6,66.6
1,LI1,0.7012512624083593,0.9603599893305776,0.808499563492797,348,34.8,33.4,14.3,1.4,17.5,66.6
2,F1,0.379504508204737,0.4714370351870352,0.4061078064961025,149,14.9,7.0,12.3,7.9,39.4,66.6
3,I1,0.3762846455269317,0.5000381468376824,0.42686294994555996,177,17.7,9.0,14.7,8.7,34.2,66.6
4,L2,0.34010765550239236,0.4489862914862915,0.3523444529326883,82,8.2,3.4,7.1,4.8,51.3,66.6
5,SP1,0.32996031746031745,0.4759373959373959,0.375592213697073,89,8.899999999999999,4.3,7.3,4.6,50.4,66.6
6,LI2,0.32299533799533797,0.5,0.3713761697239958,72,7.2,3.7,7.2,3.5,52.2,66.6
7,F2,0.2733333333333333,0.11845238095238093,0.15914141414141414,53,5.3,0.7,1.9,4.6,59.4,66.6
8,L1,0.25,0.1,0.13999999999999999,23,2.3,0.3,0.3,2.0,64.0,66.6
9,I7,0.20857142857142857,0.31333333333333335,0.2358752358752359,34,3.4,1.0,3.0,2.4,60.2,66.6
10,MM4,0.15,0.075,0.1,14,1.4,0.2,1.0,1.2,64.2,66.6
11,MM7,0.11428571428571428,0.225,0.13722222222222222,24,2.4,0.5,2.1,1.9,62.1,66.6
12,FP5,0.10333333333333332,0.08666666666666667,0.09,34,3.4,0.3,1.5,3.1,61.7,66.6
13,I6,0.1,0.014285714285714285,0.025,40,4.0,0.1,0.7,3.9,61.9,66.6
14,D2,0.1,0.03333333333333333,0.05,10,1.0,0.1,0.1,0.9,65.5,66.6
15,CC4,0.05,0.1,0.06666666666666667,4,0.4,0.1,0.2,0.3,66.0,66.6
16,MM6,0.05,0.03333333333333333,0.04,20,2.0,0.1,0.4,1.9,64.2,66.6
17,main,0.04991359109353841,0.059294502461385526,0.05040361941051173,0,0.0,0.0,0.0,0.0,0.0,0.0
18,I8,0.04,0.06666666666666667,0.05,22,2.2,0.2,0.9,2.0,63.5,66.6
19,SP2,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
20,SP3,0.0,0.0,0.0,1,0.1,0.0,0.2,0.1,66.3,66.6
21,SS6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
22,SS8,0.0,0.0,0.0,2,0.2,0.0,0.1,0.2,66.3,66.6
23,SS9,0.0,0.0,0.0,4,0.4,0.0,0.3,0.4,65.9,66.6
24,NB3,0.0,0.0,0.0,3,0.3,0.0,0.1,0.3,66.2,66.6
25,T1,0.0,0.0,0.0,16,1.6,0.0,0.5,1.6,64.5,66.6
26,NB1,0.0,0.0,0.0,21,2.1,0.0,0.1,2.1,64.4,66.6
27,N1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
28,T2,0.0,0.0,0.0,4,0.4,0.0,0.2,0.4,66.0,66.6
29,MM9,0.0,0.0,0.0,15,1.5,0.0,0.5,1.5,64.6,66.6
30,T3,0.0,0.0,0.0,20,2.0,0.0,0.6,2.0,64.0,66.6
31,MM8,0.0,0.0,0.0,8,0.8,0.0,0.1,0.8,65.7,66.6
32,W1,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
33,W2,0.0,0.0,0.0,3,0.3,0.0,0.1,0.3,66.2,66.6
34,MM5,0.0,0.0,0.0,18,1.8,0.0,0.4,1.8,64.4,66.6
35,NB4,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
36,NB5,0.0,0.0,0.0,4,0.4,0.0,0.1,0.4,66.1,66.6
37,O1,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
38,RD1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
39,SP4,0.0,0.0,0.0,8,0.8,0.0,0.1,0.8,65.7,66.6
40,SS1,0.0,0.0,0.0,3,0.3,0.0,0.2,0.3,66.1,66.6
41,SA1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
42,S2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
43,RD7,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
44,RD2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
45,MM3,0.0,0.0,0.0,8,0.8,0.0,0.2,0.8,65.6,66.6
46,SS4,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
47,PN6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
48,SS2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
49,PN1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
50,PB6,0.0,0.0,0.0,6,0.6,0.0,0.2,0.6,65.8,66.6
51,PB1,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
52,OTHER,0.0,0.0,0.0,27,2.7,0.0,0.1,2.7,63.8,66.6
53,R4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
54,LI1F2,0.0,0.0,0.0,1,0.1,0.0,0.2,0.1,66.3,66.6
55,MM2,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
56,CP1,0.0,0.0,0.0,18,1.8,0.0,0.4,1.8,64.4,66.6
57,F4,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
58,F3,0.0,0.0,0.0,9,0.9,0.0,0.6,0.9,65.1,66.6
59,E1,0.0,0.0,0.0,1,0.1,0.0,0.2,0.1,66.3,66.6
60,D3,0.0,0.0,0.0,4,0.4,0.0,0.2,0.4,66.0,66.6
61,CP5,0.0,0.0,0.0,35,3.5,0.0,0.9,3.5,62.2,66.6
62,CP4,0.0,0.0,0.0,12,1.2,0.0,0.5,1.2,64.9,66.6
63,CP2,0.0,0.0,0.0,12,1.2,0.0,0.0,1.2,65.4,66.6
64,CM1,0.0,0.0,0.0,3,0.3,0.0,0.1,0.3,66.2,66.6
65,FC1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
66,CC3,0.0,0.0,0.0,3,0.3,0.0,0.1,0.3,66.2,66.6
67,CC2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
68,CC1,0.0,0.0,0.0,4,0.4,0.0,0.1,0.4,66.1,66.6
69,C1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
70,AR9,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
71,AP3,0.0,0.0,0.0,5,0.5,0.0,0.2,0.5,65.9,66.6
72,AP2,0.0,0.0,0.0,3,0.3,0.0,0.2,0.3,66.1,66.6
73,F6,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
74,FP1,0.0,0.0,0.0,20,2.0,0.0,1.2,2.0,63.4,66.6
75,MM1,0.0,0.0,0.0,32,3.2,0.0,0.2,3.2,63.2,66.6
76,I5,0.0,0.0,0.0,17,1.7,0.0,0.4,1.7,64.5,66.6
77,LL2,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
78,LL1,0.0,0.0,0.0,5,0.5,0.0,0.2,0.5,65.9,66.6
79,LITERACY,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
80,AP1,0.0,0.0,0.0,2,0.2,0.0,0.1,0.2,66.3,66.6
81,L7,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
82,L3,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
83,L12,0.0,0.0,0.0,7,0.7,0.0,0.0,0.7,65.9,66.6
84,I3,0.0,0.0,0.0,10,1.0,0.0,0.5,1.0,65.1,66.6
85,FP2,0.0,0.0,0.0,15,1.5,0.0,0.2,1.5,64.9,66.6
86,I2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
87,H3,0.0,0.0,0.0,2,0.2,0.0,0.1,0.2,66.3,66.6
88,H2,0.0,0.0,0.0,5,0.5,0.0,0.0,0.5,66.1,66.6
89,H1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
90,FP6,0.0,0.0,0.0,14,1.4,0.0,0.5,1.4,64.7,66.6
91,FP4,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
92,FP3,0.0,0.0,0.0,4,0.4,0.0,0.1,0.4,66.1,66.6
93,W3,0.0,0.0,0.0,1,0.1,0.0,0.1,0.1,66.4,66.6
