,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,LI1,0.45856233362408816,0.7816018908665968,0.5768441557666792,348,34.8,27.8,26.7,7.0,5.1,66.6
1,I1,0.2657168701944822,1.0,0.4192371185718393,177,17.7,17.7,48.9,0.0,0.0,66.6
2,SP1,0.13666666666666666,0.09107142857142857,0.10410256410256409,89,8.899999999999999,0.7,1.1,8.2,56.6,66.6
3,L2,0.12793061986785778,0.8800000000000001,0.22270561634422098,82,8.2,7.7,46.6,0.5,11.8,66.6
4,F1,0.07121212121212121,0.13333333333333336,0.07242913353449858,149,14.9,1.8,10.3,13.1,41.4,66.6
5,CP1,0.050808080808080816,0.2833333333333333,0.07969187675070027,18,1.8,0.5,11.5,1.3,53.3,66.6
6,OTHER,0.034848484848484844,0.15999999999999998,0.045842217484008525,27,2.6999999999999997,0.4,10.6,2.3,53.3,66.6
7,NB1,0.023338770156037164,0.65,0.04483516211214694,21,2.0999999999999996,1.4,46.4,0.7,18.1,66.6
8,I5,0.020090854015543606,0.7,0.03889267310985887,17,1.7,1.2,40.6,0.5,24.3,66.6
9,main,0.013445034311970805,0.06491225791510422,0.018334741464389532,0,0.0,0.0,0.0,0.0,0.0,0.0
10,F2,0.012121212121212121,0.1125,0.016408668730650156,53,5.3,0.3,11.8,5.0,49.5,66.6
11,CP2,0.010808780771467338,0.5,0.021027953515502313,12,1.2,0.7,51.2,0.5,14.2,66.6
12,FP5,0.01,0.02,0.013333333333333332,34,3.4,0.1,5.1,3.3,58.1,66.6
13,MM1,0.01,0.025,0.014285714285714287,32,3.2,0.1,1.7,3.1,61.7,66.6
14,I6,0.004545454545454545,0.1,0.008695652173913045,40,4.0,0.3,10.8,3.7,51.8,66.6
15,CC1,0.0031318815757279176,0.2,0.006166982922201138,4,0.4,0.2,54.3,0.2,11.9,66.6
16,L1,0.0030303030303030303,0.1,0.005882352941176471,23,2.3000000000000003,0.2,10.8,2.1,53.5,66.6
17,I8,0.0030303030303030303,0.1,0.005882352941176471,22,2.2,0.2,10.8,2.0,53.6,66.6
18,I7,0.0030303030303030303,0.1,0.005882352941176471,34,3.4000000000000004,0.2,11.9,3.2,51.3,66.6
19,MM9,0.0015151515151515152,0.1,0.002985074626865672,15,1.5,0.1,10.4,1.4,54.7,66.6
20,NB3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
21,O1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
22,PB1,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
23,MM6,0.0,0.0,0.0,20,2.0,0.0,1.0,2.0,63.6,66.6
24,MM8,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
25,NB5,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
26,MM7,0.0,0.0,0.0,24,2.4,0.0,1.0,2.4,63.2,66.6
27,N1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
28,PB6,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
29,NB4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
30,R4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
31,PN1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
32,SS2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
33,W2,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
34,W1,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
35,T3,0.0,0.0,0.0,20,2.0,0.0,0.1,2.0,64.5,66.6
36,T2,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
37,T1,0.0,0.0,0.0,16,1.6,0.0,0.0,1.6,65.0,66.6
38,SS9,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
39,SS8,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
40,SS6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
41,SS4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
