,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,LI1,0.7818508257392043,0.6884857281916106,0.7300789912471868,348,34.8,24.0,6.6,10.8,25.2,66.6
1,CM,0.7751441689022661,0.8550564017692348,0.8100388919551845,295,29.5,25.2,7.2,4.3,29.9,66.6
2,F1,0.4643650793650793,0.18073024198024198,0.253423732712285,149,14.899999999999999,2.8,3.0,12.1,48.7,66.6
3,I1,0.3466666666666667,0.06390344734384983,0.10417970587764638,177,17.7,1.2,2.9,16.5,46.0,66.6
4,LI2,0.27876994275971256,0.5663095238095238,0.36163781824828545,72,7.2,4.0,11.2,3.2,48.2,66.6
5,SP1,0.16666666666666669,0.05467032967032968,0.0796897546897547,89,8.9,0.5,1.2,8.4,56.5,66.6
6,L2,0.15833333333333333,0.08011904761904762,0.0957936507936508,82,8.2,0.5,1.5,7.7,56.9,66.6
7,F2,0.1,0.016666666666666666,0.02857142857142857,53,5.3,0.1,0.4,5.2,60.9,66.6
8,L1,0.05,0.03333333333333333,0.04,23,2.3000000000000003,0.1,0.2,2.2,64.1,66.6
9,I6,0.05,0.016666666666666666,0.025,40,4.0,0.1,0.2,3.9,62.4,66.6
10,main,0.034105340682074506,0.027483240720973173,0.027187247033284113,0,0.0,0.0,0.0,0.0,0.0,0.0
11,OTHER,0.0,0.0,0.0,27,2.7,0.0,0.0,2.7,63.9,66.6
12,O1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
13,NB5,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
14,NB4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
15,NB3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
16,MM9,0.0,0.0,0.0,15,1.5,0.0,0.0,1.5,65.1,66.6
17,NB1,0.0,0.0,0.0,21,2.1,0.0,0.0,2.1,64.5,66.6
18,N1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
19,PB6,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
20,MM8,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
21,MM7,0.0,0.0,0.0,24,2.4,0.0,0.0,2.4,64.2,66.6
22,MM6,0.0,0.0,0.0,20,2.0,0.0,0.0,2.0,64.6,66.6
23,MM5,0.0,0.0,0.0,18,1.8,0.0,0.0,1.8,64.8,66.6
24,MM4,0.0,0.0,0.0,14,1.4,0.0,0.0,1.4,65.2,66.6
25,MM3,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
26,PB1,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
27,R4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
28,PN1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
29,SS2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
30,W2,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
31,W1,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
32,T3,0.0,0.0,0.0,20,2.0,0.0,0.0,2.0,64.6,66.6
33,T2,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
34,T1,0.0,0.0,0.0,16,1.6,0.0,0.0,1.6,65.0,66.6
35,SS9,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
36,SS8,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
37,SS6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
38,SS4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
39,SS1,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
40,PN6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
41,SP4,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
42,SP3,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
43,SP2,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
44,SA1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
45,S2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
46,RD7,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
47,RD2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
48,RD1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
49,MM1,0.0,0.0,0.0,32,3.2,0.0,0.0,3.2,63.4,66.6
50,MM2,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
51,LI1F2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
52,LL2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
53,CP1,0.0,0.0,0.0,18,1.8,0.0,0.0,1.8,64.8,66.6
54,F4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
55,F3,0.0,0.0,0.0,9,0.9,0.0,0.0,0.9,65.7,66.6
56,E1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
57,D3,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
58,D2,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
59,CP5,0.0,0.0,0.0,35,3.5,0.0,0.0,3.5,63.1,66.6
60,CP4,0.0,0.0,0.0,12,1.2,0.0,0.0,1.2,65.4,66.6
61,CP2,0.0,0.0,0.0,12,1.2,0.0,0.0,1.2,65.4,66.6
62,CM1,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
63,LL1,0.0,0.0,0.0,5,0.5,0.0,0.0,0.5,66.1,66.6
64,CC4,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
65,CC3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
66,CC2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
67,CC1,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
68,C1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
69,AR9,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
70,AP3,0.0,0.0,0.0,5,0.5,0.0,0.0,0.5,66.1,66.6
71,AP2,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
72,F6,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
73,FC1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
74,FP1,0.0,0.0,0.0,20,2.0,0.0,0.0,2.0,64.6,66.6
75,FP2,0.0,0.0,0.0,15,1.5,0.0,0.0,1.5,65.1,66.6
76,LITERACY,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
77,AP1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
78,L7,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
79,L3,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
80,L12,0.0,0.0,0.0,7,0.7,0.0,0.0,0.7,65.9,66.6
81,I8,0.0,0.0,0.0,22,2.2,0.0,0.0,2.2,64.4,66.6
82,I7,0.0,0.0,0.0,34,3.4,0.0,0.0,3.4,63.2,66.6
83,I5,0.0,0.0,0.0,17,1.7,0.0,0.0,1.7,64.9,66.6
84,I3,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
85,I2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
86,H3,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
87,H2,0.0,0.0,0.0,5,0.5,0.0,0.0,0.5,66.1,66.6
88,H1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
89,FP6,0.0,0.0,0.0,14,1.4,0.0,0.0,1.4,65.2,66.6
90,FP5,0.0,0.0,0.0,34,3.4,0.0,0.1,3.4,63.1,66.6
91,FP4,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
92,FP3,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
93,W3,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
