,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,CM,0.7871856262090662,0.8822150537569542,0.8244585406010563,295,29.5,25.6,7.0,3.9,30.1,66.6
1,LI1,0.7806293931539875,0.6729624076682901,0.7188855194831868,348,34.8,23.3,6.5,11.5,25.3,66.6
2,L2,0.5966666666666667,0.1375937950937951,0.21667832167832168,82,8.200000000000001,1.3,0.7,6.9,57.7,66.6
3,SP1,0.53,0.10698773448773449,0.15356643356643357,89,8.9,0.9,1.5,8.0,56.2,66.6
4,F1,0.3304761904761905,0.12076812076812075,0.16849787808099825,149,14.9,1.8,3.6,13.1,48.1,66.6
5,I1,0.3027777777777778,0.09986633249791144,0.14803074539285382,177,17.7,1.8,3.1,15.9,45.8,66.6
6,LI2,0.2603365588659706,0.4671428571428572,0.32504769448705384,72,7.199999999999999,3.4,8.4,3.8,51.0,66.6
7,MM6,0.1,0.03333333333333333,0.05,20,2.0,0.1,0.1,1.9,64.5,66.6
8,F2,0.1,0.014285714285714285,0.025,53,5.3,0.1,0.6,5.2,60.7,66.6
9,main,0.040731959281179134,0.027259734935857104,0.02828134551924628,0,0.0,0.0,0.0,0.0,0.0,0.0
10,NB3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
11,PB1,0.0,0.0,0.0,6,0.6,0.0,0.2,0.6,65.8,66.6
12,OTHER,0.0,0.0,0.0,27,2.7,0.0,0.4,2.7,63.5,66.6
13,O1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
14,NB5,0.0,0.0,0.0,4,0.4,0.0,0.1,0.4,66.1,66.6
15,NB4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
16,MM9,0.0,0.0,0.0,15,1.5,0.0,0.1,1.5,65.0,66.6
17,NB1,0.0,0.0,0.0,21,2.1,0.0,0.2,2.1,64.3,66.6
18,N1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
19,PN1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
20,MM8,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
21,MM7,0.0,0.0,0.0,24,2.4,0.0,0.0,2.4,64.2,66.6
22,MM5,0.0,0.0,0.0,18,1.8,0.0,0.0,1.8,64.8,66.6
23,MM4,0.0,0.0,0.0,14,1.4,0.0,0.1,1.4,65.1,66.6
24,MM3,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
25,MM2,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
26,PB6,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
27,R4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
28,PN6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
29,LL2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
30,W2,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
31,W1,0.0,0.0,0.0,4,0.4,0.0,0.1,0.4,66.1,66.6
32,T3,0.0,0.0,0.0,20,2.0,0.0,0.2,2.0,64.4,66.6
33,T2,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
34,T1,0.0,0.0,0.0,16,1.6,0.0,0.1,1.6,64.9,66.6
35,SS9,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
36,SS8,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
37,SS6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
38,SS4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
39,SS2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
40,SS1,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
41,SP4,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
42,SP3,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
43,SP2,0.0,0.0,0.0,10,1.0,0.0,0.1,1.0,65.5,66.6
44,SA1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
45,S2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
46,RD7,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
47,RD2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
48,RD1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
49,MM1,0.0,0.0,0.0,32,3.2,0.0,0.2,3.2,63.2,66.6
50,LI1F2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
