,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,LI1,0.8138772764746068,0.643355475561358,0.7160781666611673,348,34.8,22.4,5.1,12.4,26.7,66.6
1,CM,0.7580085210954348,0.9554840273940904,0.8407260454143343,295,29.5,28.0,8.9,1.5,28.2,66.6
2,I1,0.37891691940079036,0.5987933067964029,0.4603266957555315,177,17.7,10.6,17.5,7.1,31.4,66.6
3,L2,0.33495815295815295,0.7884018759018758,0.4569870832536539,82,8.200000000000001,6.4,13.0,1.8,45.4,66.6
4,F1,0.3348636461577638,0.4793951881451882,0.3757997265892003,149,14.9,7.0,15.0,7.9,36.7,66.6
5,SP1,0.29636105071399194,0.8065068265068265,0.4281212593712594,89,8.9,7.2,17.4,1.7,40.3,66.6
6,LI2,0.24824172680866044,0.755,0.36941809803100123,72,7.199999999999999,5.3,11.7,1.9,47.7,66.6
7,I7,0.17277978557390322,0.6066666666666666,0.2640768160811236,34,3.4000000000000004,2.2,9.8,1.2,53.4,66.6
8,I8,0.16444444444444445,0.2533333333333333,0.15564213564213564,22,2.2,0.5,4.8,1.7,59.6,66.6
9,FP5,0.13674639086403792,0.45666666666666667,0.2064614504488646,34,3.4000000000000004,1.8,10.4,1.6,52.8,66.6
10,MM7,0.12955239205239205,0.6166666666666667,0.21086302586302583,24,2.4,1.7,8.9,0.7,55.3,66.6
11,CP5,0.12952058906006275,0.62,0.21031884120725147,35,3.5,2.2,14.0,1.3,49.1,66.6
12,I6,0.12886788048552755,0.5252380952380953,0.19602827255304034,40,4.0,1.9,12.3,2.1,50.3,66.6
13,F2,0.12210389026178499,0.45595238095238094,0.17542244390070477,53,5.300000000000001,2.1,15.2,3.2,46.1,66.6
14,MM9,0.1161111111111111,0.3333333333333333,0.1656177156177156,15,1.5,0.7,5.6,0.8,59.5,66.6
15,MM6,0.10666666666666666,0.4666666666666666,0.1666200466200466,20,2.0,1.0,7.0,1.0,57.6,66.6
16,MM5,0.10465007215007213,0.36666666666666664,0.1561976911976912,18,1.8,0.8,5.9,1.0,58.9,66.6
17,FP6,0.06805555555555556,0.24166666666666664,0.10170940170940171,14,1.4,0.6,5.2,0.8,60.0,66.6
18,CP4,0.06523809523809523,0.45,0.11215728715728716,12,1.2,0.5,4.8,0.7,60.6,66.6
19,MM1,0.06340659340659341,0.19166666666666665,0.09283613445378151,32,3.2,0.6,7.4,2.6,56.0,66.6
20,T3,0.055934343434343434,0.44000000000000006,0.08760822773045145,20,2.0,0.8,13.7,1.2,50.9,66.6
21,main,0.053186069821649265,0.12815190512361524,0.06737851238079941,0,0.0,0.0,0.0,0.0,0.0,0.0
22,FP1,0.05,0.05,0.05,20,2.0,0.1,1.6,1.9,63.0,66.6
23,FP2,0.046886446886446886,0.175,0.07279411764705881,15,1.5,0.5,8.0,1.0,57.1,66.6
24,I3,0.0325,0.15,0.053333333333333344,10,1.0,0.2,3.5,0.8,62.1,66.6
25,NB1,0.026666666666666665,0.075,0.03666666666666667,21,2.1,0.2,5.5,1.9,59.0,66.6
26,F3,0.0225,0.2,0.0404040404040404,9,0.8999999999999999,0.3,6.6,0.6,59.1,66.6
27,I5,0.018803418803418803,0.08333333333333333,0.030000000000000006,17,1.7,0.2,5.0,1.5,59.9,66.6
28,D2,0.0125,0.1,0.02222222222222222,10,1.0,0.1,4.6,0.9,61.0,66.6
29,L1,0.007142857142857143,0.03333333333333333,0.011764705882352941,23,2.3000000000000003,0.1,5.5,2.2,58.8,66.6
30,NB4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
31,PB1,0.0,0.0,0.0,6,0.6,0.0,0.1,0.6,65.9,66.6
32,N1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
33,PB6,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
34,OTHER,0.0,0.0,0.0,27,2.7,0.0,0.0,2.7,63.9,66.6
35,W1,0.0,0.0,0.0,4,0.4,0.0,1.4,0.4,64.8,66.6
36,NB3,0.0,0.0,0.0,3,0.3,0.0,1.1,0.3,65.2,66.6
37,W2,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
38,O1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
39,NB5,0.0,0.0,0.0,4,0.4,0.0,3.1,0.4,63.1,66.6
40,PN1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
41,SS4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
42,T2,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
43,SA1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
44,SS1,0.0,0.0,0.0,3,0.3,0.0,0.7,0.3,65.6,66.6
45,SP4,0.0,0.0,0.0,8,0.8,0.0,1.0,0.8,64.8,66.6
46,SP3,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
47,SS6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
48,SP2,0.0,0.0,0.0,10,1.0,0.0,3.0,1.0,62.6,66.6
49,SS8,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
50,S2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
51,T1,0.0,0.0,0.0,16,1.6,0.0,0.0,1.6,65.0,66.6
52,RD7,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
53,RD2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
54,RD1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
55,R4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
56,SS9,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
57,SS2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
58,PN6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
59,LI1F2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
60,MM8,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
61,CC4,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
62,F4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
63,E1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
64,D3,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
65,CP2,0.0,0.0,0.0,12,1.2,0.0,3.1,1.2,62.3,66.6
66,CP1,0.0,0.0,0.0,18,1.8,0.0,5.5,1.8,59.3,66.6
67,CM1,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
68,CC3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
69,MM4,0.0,0.0,0.0,14,1.4,0.0,0.0,1.4,65.2,66.6
70,CC2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
71,CC1,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
72,C1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
73,AR9,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
74,AP3,0.0,0.0,0.0,5,0.5,0.0,0.0,0.5,66.1,66.6
75,AP2,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
76,F6,0.0,0.0,0.0,10,1.0,0.0,2.2,1.0,63.4,66.6
77,FC1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
78,FP3,0.0,0.0,0.0,4,0.4,0.0,0.4,0.4,65.8,66.6
79,FP4,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
80,H1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
81,H2,0.0,0.0,0.0,5,0.5,0.0,0.0,0.5,66.1,66.6
82,H3,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
83,I2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
84,L12,0.0,0.0,0.0,7,0.7,0.0,1.0,0.7,64.9,66.6
85,L3,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
86,L7,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
87,AP1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
88,LITERACY,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
89,LL1,0.0,0.0,0.0,5,0.5,0.0,0.0,0.5,66.1,66.6
90,LL2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
91,MM2,0.0,0.0,0.0,6,0.6,0.0,1.0,0.6,65.0,66.6
92,MM3,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
93,W3,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
