,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,CM,0.7751298691088303,0.8653783714662046,0.8144114828150618,295,29.5,25.5,7.3,4.0,29.8,66.6
1,LI1,0.7369653795816588,0.8321687220216631,0.7803506819754384,348,34.8,29.0,10.3,5.8,21.5,66.6
2,L2,0.46797619047619055,0.3354509379509379,0.37031315090138617,82,8.2,2.6,2.9,5.6,55.5,66.6
3,F1,0.3830708180708181,0.20174214674214674,0.25605243217328855,149,14.899999999999999,3.2,5.2,11.7,46.5,66.6
4,I1,0.37841991341991343,0.24175813307779254,0.2903079379173431,177,17.700000000000003,4.4,6.8,13.3,42.1,66.6
5,LI2,0.28869047619047616,0.21357142857142858,0.2365764790764791,72,7.2,1.5,3.2,5.7,56.2,66.6
6,SP1,0.24285714285714283,0.11392357642357642,0.14962406015037594,89,8.9,1.0,3.0,7.9,54.7,66.6
7,L1,0.2,0.075,0.10666666666666666,23,2.3000000000000003,0.2,0.3,2.1,64.0,66.6
8,I7,0.05,0.05,0.05,34,3.4,0.1,0.9,3.3,62.3,66.6
9,I6,0.05,0.016666666666666666,0.025,40,4.0,0.1,0.9,3.9,61.7,66.6
10,CP5,0.05,0.05,0.05,35,3.5,0.1,0.5,3.4,62.6,66.6
11,main,0.03895816978177451,0.03221139766581092,0.03364841819006494,0,0.0,0.0,0.0,0.0,0.0,0.0
12,MM8,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
13,MM9,0.0,0.0,0.0,15,1.5,0.0,0.0,1.5,65.1,66.6
14,PB6,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
15,MM7,0.0,0.0,0.0,24,2.4,0.0,0.0,2.4,64.2,66.6
16,MM6,0.0,0.0,0.0,20,2.0,0.0,0.1,2.0,64.5,66.6
17,N1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
18,MM5,0.0,0.0,0.0,18,1.8,0.0,0.0,1.8,64.8,66.6
19,MM4,0.0,0.0,0.0,14,1.4,0.0,0.0,1.4,65.2,66.6
20,NB1,0.0,0.0,0.0,21,2.1,0.0,0.0,2.1,64.5,66.6
21,NB3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
22,MM3,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
23,NB4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
24,NB5,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
25,O1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
26,OTHER,0.0,0.0,0.0,27,2.7,0.0,0.0,2.7,63.9,66.6
27,PB1,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
28,PN6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
29,PN1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
30,SS2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
31,W2,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
32,W1,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
33,T3,0.0,0.0,0.0,20,2.0,0.0,0.0,2.0,64.6,66.6
34,T2,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
35,T1,0.0,0.0,0.0,16,1.6,0.0,0.0,1.6,65.0,66.6
36,SS9,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
37,SS8,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
38,SS6,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
39,SS4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
40,SS1,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
41,MM1,0.0,0.0,0.0,32,3.2,0.0,0.2,3.2,63.2,66.6
42,SP4,0.0,0.0,0.0,8,0.8,0.0,0.0,0.8,65.8,66.6
43,SP3,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
44,SP2,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
45,SA1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
46,S2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
47,RD7,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
48,RD2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
49,RD1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
50,R4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
51,MM2,0.0,0.0,0.0,6,0.6,0.0,0.0,0.6,66.0,66.6
52,LI1F2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
53,LL2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
54,F6,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
55,F3,0.0,0.0,0.0,9,0.9,0.0,0.0,0.9,65.7,66.6
56,F2,0.0,0.0,0.0,53,5.3,0.0,0.3,5.3,61.0,66.6
57,E1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
58,D3,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
59,D2,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
60,CP4,0.0,0.0,0.0,12,1.2,0.0,0.1,1.2,65.3,66.6
61,CP2,0.0,0.0,0.0,12,1.2,0.0,0.1,1.2,65.3,66.6
62,CP1,0.0,0.0,0.0,18,1.8,0.0,0.0,1.8,64.8,66.6
63,CM1,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
64,CC4,0.0,0.0,0.0,4,0.4,0.0,0.1,0.4,66.1,66.6
65,CC3,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
66,CC2,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
67,CC1,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
68,C1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
69,AR9,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
70,AP3,0.0,0.0,0.0,5,0.5,0.0,0.0,0.5,66.1,66.6
71,AP2,0.0,0.0,0.0,3,0.3,0.0,0.0,0.3,66.3,66.6
72,F4,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
73,FC1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
74,LL1,0.0,0.0,0.0,5,0.5,0.0,0.0,0.5,66.1,66.6
75,FP1,0.0,0.0,0.0,20,2.0,0.0,0.0,2.0,64.6,66.6
76,LITERACY,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
77,AP1,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
78,L7,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
79,L3,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
80,L12,0.0,0.0,0.0,7,0.7,0.0,0.0,0.7,65.9,66.6
81,I8,0.0,0.0,0.0,22,2.2,0.0,0.4,2.2,64.0,66.6
82,I5,0.0,0.0,0.0,17,1.7,0.0,0.0,1.7,64.9,66.6
83,I3,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,65.6,66.6
84,I2,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
85,H3,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
86,H2,0.0,0.0,0.0,5,0.5,0.0,0.0,0.5,66.1,66.6
87,H1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
88,FP6,0.0,0.0,0.0,14,1.4,0.0,0.0,1.4,65.2,66.6
89,FP5,0.0,0.0,0.0,34,3.4,0.0,0.3,3.4,62.9,66.6
90,FP4,0.0,0.0,0.0,2,0.2,0.0,0.0,0.2,66.4,66.6
91,FP3,0.0,0.0,0.0,4,0.4,0.0,0.0,0.4,66.2,66.6
92,FP2,0.0,0.0,0.0,15,1.5,0.0,0.0,1.5,65.1,66.6
93,W3,0.0,0.0,0.0,1,0.1,0.0,0.0,0.1,66.5,66.6
