,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,LI1,0.8,0.5882352941176471,0.6779661016949153,348,68,40,10,28,56,134
1,CM,0.7073170731707317,1.0,0.8285714285714285,295,58,58,24,0,52,134
2,L2,0.4186046511627907,0.72,0.5294117647058824,82,25,18,25,7,84,134
3,I1,0.3684210526315789,0.5675675675675675,0.44680851063829785,177,37,21,36,16,61,134
4,LI2,0.3333333333333333,0.9411764705882353,0.49230769230769234,72,17,16,32,1,85,134
5,FP1,0.3333333333333333,0.2,0.25,20,5,1,2,4,127,134
6,I7,0.3076923076923077,0.8,0.4444444444444444,34,10,8,18,2,106,134
7,SP1,0.3,0.8823529411764706,0.44776119402985076,89,17,15,35,2,82,134
8,F1,0.3,0.34285714285714286,0.32,149,35,12,28,23,71,134
9,FP6,0.2,0.75,0.31578947368421056,14,4,3,12,1,118,134
10,FP5,0.18181818181818182,0.4,0.25000000000000006,34,10,4,18,6,106,134
11,T3,0.15789473684210525,0.5,0.23999999999999996,20,6,3,16,3,112,134
12,I6,0.15625,0.5555555555555556,0.24390243902439024,40,9,5,27,4,98,134
13,I3,0.15384615384615385,0.5,0.23529411764705882,10,4,2,11,2,119,134
14,CP4,0.15384615384615385,0.5,0.23529411764705882,12,4,2,11,2,119,134
15,I8,0.125,0.25,0.16666666666666666,22,4,1,7,3,123,134
16,CP5,0.11627906976744186,0.7142857142857143,0.2,35,7,5,38,2,89,134
17,MM7,0.1111111111111111,0.75,0.19354838709677416,24,4,3,24,1,106,134
18,MM6,0.10526315789473684,0.5,0.17391304347826086,20,4,2,17,2,113,134
19,MM5,0.1,0.4,0.16000000000000003,18,5,2,18,3,111,134
20,I5,0.08333333333333333,0.14285714285714285,0.10526315789473685,17,7,1,11,6,116,134
21,MM9,0.0625,0.5,0.1111111111111111,15,2,1,15,1,117,134
22,main,0.06028114709770241,0.13565590258189877,0.07651260965872932,0,0,0,0,0,0,0
23,F2,0.030303030303030304,0.1111111111111111,0.047619047619047616,53,9,1,32,8,93,134
24,S2,0.0,0.0,0.0,1,0,0,0,0,134,134
25,SS8,0.0,0.0,0.0,2,0,0,0,0,134,134
26,W2,0.0,0.0,0.0,3,1,0,0,1,133,134
27,MM8,0.0,0.0,0.0,8,1,0,0,1,133,134
28,W1,0.0,0.0,0.0,4,1,0,0,1,133,134
29,N1,0.0,0.0,0.0,1,0,0,0,0,134,134
30,NB1,0.0,0.0,0.0,21,1,0,16,1,117,134
31,T2,0.0,0.0,0.0,4,0,0,0,0,134,134
32,NB3,0.0,0.0,0.0,3,1,0,0,1,133,134
33,T1,0.0,0.0,0.0,16,5,0,0,5,129,134
34,NB4,0.0,0.0,0.0,1,0,0,0,0,134,134
35,NB5,0.0,0.0,0.0,4,1,0,0,1,133,134
36,SS9,0.0,0.0,0.0,4,0,0,0,0,134,134
37,O1,0.0,0.0,0.0,1,1,0,0,1,133,134
38,OTHER,0.0,0.0,0.0,27,7,0,0,7,127,134
39,SS6,0.0,0.0,0.0,1,0,0,0,0,134,134
40,RD7,0.0,0.0,0.0,1,0,0,0,0,134,134
41,SS4,0.0,0.0,0.0,1,1,0,0,1,133,134
42,SS2,0.0,0.0,0.0,2,0,0,0,0,134,134
43,SS1,0.0,0.0,0.0,3,1,0,0,1,133,134
44,PB1,0.0,0.0,0.0,6,2,0,0,2,132,134
45,SP4,0.0,0.0,0.0,8,1,0,3,1,130,134
46,PB6,0.0,0.0,0.0,6,3,0,0,3,131,134
47,PN1,0.0,0.0,0.0,1,0,0,0,0,134,134
48,PN6,0.0,0.0,0.0,1,0,0,0,0,134,134
49,SP3,0.0,0.0,0.0,1,0,0,0,0,134,134
50,SP2,0.0,0.0,0.0,10,3,0,0,3,131,134
51,R4,0.0,0.0,0.0,1,0,0,0,0,134,134
52,RD2,0.0,0.0,0.0,1,0,0,0,0,134,134
53,SA1,0.0,0.0,0.0,2,1,0,0,1,133,134
54,RD1,0.0,0.0,0.0,2,2,0,0,2,132,134
55,LI1F2,0.0,0.0,0.0,1,0,0,0,0,134,134
56,MM4,0.0,0.0,0.0,14,5,0,0,5,129,134
57,CM1,0.0,0.0,0.0,3,0,0,0,0,134,134
58,F4,0.0,0.0,0.0,1,1,0,0,1,133,134
59,F3,0.0,0.0,0.0,9,4,0,0,4,130,134
60,E1,0.0,0.0,0.0,1,0,0,0,0,134,134
61,D3,0.0,0.0,0.0,4,0,0,0,0,134,134
62,D2,0.0,0.0,0.0,10,3,0,0,3,131,134
63,CP2,0.0,0.0,0.0,12,3,0,2,3,129,134
64,CP1,0.0,0.0,0.0,18,1,0,24,1,109,134
65,CC4,0.0,0.0,0.0,4,1,0,0,1,133,134
66,MM3,0.0,0.0,0.0,8,3,0,0,3,131,134
67,CC3,0.0,0.0,0.0,3,0,0,0,0,134,134
68,CC2,0.0,0.0,0.0,1,0,0,0,0,134,134
69,CC1,0.0,0.0,0.0,4,1,0,0,1,133,134
70,C1,0.0,0.0,0.0,1,0,0,0,0,134,134
71,AR9,0.0,0.0,0.0,1,0,0,0,0,134,134
72,AP3,0.0,0.0,0.0,5,0,0,0,0,134,134
73,AP2,0.0,0.0,0.0,3,1,0,0,1,133,134
74,F6,0.0,0.0,0.0,10,2,0,5,2,127,134
75,FC1,0.0,0.0,0.0,1,0,0,0,0,134,134
76,FP2,0.0,0.0,0.0,15,6,0,8,6,120,134
77,FP3,0.0,0.0,0.0,4,1,0,0,1,133,134
78,MM2,0.0,0.0,0.0,6,2,0,3,2,129,134
79,MM1,0.0,0.0,0.0,32,6,0,12,6,116,134
80,LL2,0.0,0.0,0.0,1,0,0,0,0,134,134
81,LL1,0.0,0.0,0.0,5,1,0,0,1,133,134
82,LITERACY,0.0,0.0,0.0,2,2,0,0,2,132,134
83,AP1,0.0,0.0,0.0,2,1,0,0,1,133,134
84,L7,0.0,0.0,0.0,1,0,0,0,0,134,134
85,L3,0.0,0.0,0.0,1,1,0,0,1,133,134
86,L12,0.0,0.0,0.0,7,2,0,14,2,118,134
87,L1,0.0,0.0,0.0,23,3,0,11,3,120,134
88,I2,0.0,0.0,0.0,2,1,0,0,1,133,134
89,H3,0.0,0.0,0.0,2,1,0,0,1,133,134
90,H2,0.0,0.0,0.0,5,1,0,0,1,133,134
91,H1,0.0,0.0,0.0,1,0,0,0,0,134,134
92,FP4,0.0,0.0,0.0,2,0,0,0,0,134,134
93,W3,0.0,0.0,0.0,1,0,0,0,0,134,134
