,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,CP5,1.0,0.14285714285714285,0.25,35,7,1,0,6,127,134
1,LI1,0.7571428571428571,0.7794117647058824,0.7681159420289856,348,68,53,17,15,49,134
2,CM,0.7397260273972602,0.9310344827586207,0.8244274809160306,295,58,54,19,4,57,134
3,L2,0.5384615384615384,0.28,0.3684210526315789,82,25,7,6,18,103,134
4,LI2,0.5,0.23529411764705882,0.31999999999999995,72,17,4,4,13,113,134
5,I1,0.3793103448275862,0.2972972972972973,0.33333333333333337,177,37,11,18,26,79,134
6,F1,0.30434782608695654,0.2,0.24137931034482762,149,35,7,16,28,83,134
7,main,0.04536546875178708,0.030816073174903244,0.03339437762639523,0,0,0,0,0,0,0
8,PB1,0.0,0.0,0.0,6,2,0,0,2,132,134
9,OTHER,0.0,0.0,0.0,27,7,0,0,7,127,134
10,O1,0.0,0.0,0.0,1,1,0,0,1,133,134
11,NB5,0.0,0.0,0.0,4,1,0,0,1,133,134
12,NB4,0.0,0.0,0.0,1,0,0,0,0,134,134
13,NB3,0.0,0.0,0.0,3,1,0,0,1,133,134
14,NB1,0.0,0.0,0.0,21,1,0,0,1,133,134
15,MM9,0.0,0.0,0.0,15,2,0,0,2,132,134
16,N1,0.0,0.0,0.0,1,0,0,0,0,134,134
17,PN1,0.0,0.0,0.0,1,0,0,0,0,134,134
18,MM8,0.0,0.0,0.0,8,1,0,0,1,133,134
19,MM7,0.0,0.0,0.0,24,4,0,0,4,130,134
20,MM6,0.0,0.0,0.0,20,4,0,0,4,130,134
21,MM5,0.0,0.0,0.0,18,5,0,0,5,129,134
22,MM4,0.0,0.0,0.0,14,5,0,0,5,129,134
23,MM3,0.0,0.0,0.0,8,3,0,0,3,131,134
24,MM2,0.0,0.0,0.0,6,2,0,0,2,132,134
25,PB6,0.0,0.0,0.0,6,3,0,0,3,131,134
26,R4,0.0,0.0,0.0,1,0,0,0,0,134,134
27,PN6,0.0,0.0,0.0,1,0,0,0,0,134,134
28,SS2,0.0,0.0,0.0,2,0,0,0,0,134,134
29,W2,0.0,0.0,0.0,3,1,0,0,1,133,134
30,W1,0.0,0.0,0.0,4,1,0,0,1,133,134
31,T3,0.0,0.0,0.0,20,6,0,0,6,128,134
32,T2,0.0,0.0,0.0,4,0,0,0,0,134,134
33,T1,0.0,0.0,0.0,16,5,0,0,5,129,134
34,SS9,0.0,0.0,0.0,4,0,0,0,0,134,134
35,SS8,0.0,0.0,0.0,2,0,0,0,0,134,134
36,SS6,0.0,0.0,0.0,1,0,0,0,0,134,134
37,SS4,0.0,0.0,0.0,1,1,0,0,1,133,134
38,SS1,0.0,0.0,0.0,3,1,0,0,1,133,134
39,LL2,0.0,0.0,0.0,1,0,0,0,0,134,134
40,SP4,0.0,0.0,0.0,8,1,0,0,1,133,134
41,SP3,0.0,0.0,0.0,1,0,0,0,0,134,134
42,SP2,0.0,0.0,0.0,10,3,0,0,3,131,134
43,SP1,0.0,0.0,0.0,89,17,0,2,17,115,134
44,SA1,0.0,0.0,0.0,2,1,0,0,1,133,134
45,S2,0.0,0.0,0.0,1,0,0,0,0,134,134
46,RD7,0.0,0.0,0.0,1,0,0,0,0,134,134
47,RD2,0.0,0.0,0.0,1,0,0,0,0,134,134
48,RD1,0.0,0.0,0.0,2,2,0,0,2,132,134
49,MM1,0.0,0.0,0.0,32,6,0,1,6,127,134
50,LI1F2,0.0,0.0,0.0,1,0,0,0,0,134,134
51,LL1,0.0,0.0,0.0,5,1,0,0,1,133,134
52,CP1,0.0,0.0,0.0,18,1,0,0,1,133,134
53,F4,0.0,0.0,0.0,1,1,0,0,1,133,134
54,F3,0.0,0.0,0.0,9,4,0,0,4,130,134
55,F2,0.0,0.0,0.0,53,9,0,1,9,124,134
56,E1,0.0,0.0,0.0,1,0,0,0,0,134,134
57,D3,0.0,0.0,0.0,4,0,0,0,0,134,134
58,D2,0.0,0.0,0.0,10,3,0,0,3,131,134
59,CP4,0.0,0.0,0.0,12,4,0,0,4,130,134
60,CP2,0.0,0.0,0.0,12,3,0,0,3,131,134
61,CM1,0.0,0.0,0.0,3,0,0,0,0,134,134
62,FC1,0.0,0.0,0.0,1,0,0,0,0,134,134
63,CC4,0.0,0.0,0.0,4,1,0,0,1,133,134
64,CC3,0.0,0.0,0.0,3,0,0,0,0,134,134
65,CC2,0.0,0.0,0.0,1,0,0,0,0,134,134
66,CC1,0.0,0.0,0.0,4,1,0,0,1,133,134
67,C1,0.0,0.0,0.0,1,0,0,0,0,134,134
68,AR9,0.0,0.0,0.0,1,0,0,0,0,134,134
69,AP3,0.0,0.0,0.0,5,0,0,0,0,134,134
70,AP2,0.0,0.0,0.0,3,1,0,0,1,133,134
71,F6,0.0,0.0,0.0,10,2,0,0,2,132,134
72,FP1,0.0,0.0,0.0,20,5,0,0,5,129,134
73,LITERACY,0.0,0.0,0.0,2,2,0,0,2,132,134
74,I5,0.0,0.0,0.0,17,7,0,0,7,127,134
75,AP1,0.0,0.0,0.0,2,1,0,0,1,133,134
76,L7,0.0,0.0,0.0,1,0,0,0,0,134,134
77,L3,0.0,0.0,0.0,1,1,0,0,1,133,134
78,L12,0.0,0.0,0.0,7,2,0,0,2,132,134
79,L1,0.0,0.0,0.0,23,3,0,0,3,131,134
80,I8,0.0,0.0,0.0,22,4,0,2,4,128,134
81,I7,0.0,0.0,0.0,34,10,0,1,10,123,134
82,I6,0.0,0.0,0.0,40,9,0,1,9,124,134
83,I3,0.0,0.0,0.0,10,4,0,0,4,130,134
84,FP2,0.0,0.0,0.0,15,6,0,0,6,128,134
85,I2,0.0,0.0,0.0,2,1,0,0,1,133,134
86,H3,0.0,0.0,0.0,2,1,0,0,1,133,134
87,H2,0.0,0.0,0.0,5,1,0,0,1,133,134
