,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,CM,0.6904761904761905,1.0,0.8169014084507042,295,58,58,26,0,50,134
1,LI1,0.6310679611650486,0.9558823529411765,0.760233918128655,348,68,65,38,3,28,134
2,L2,0.5,0.4,0.4444444444444445,82,25,10,10,15,99,134
3,I1,0.39655172413793105,0.6216216216216216,0.48421052631578954,177,37,23,35,14,62,134
4,F1,0.37777777777777777,0.4857142857142857,0.425,149,35,17,28,18,71,134
5,LI2,0.36,0.5294117647058824,0.42857142857142855,72,17,9,16,8,101,134
6,SP1,0.32142857142857145,0.5294117647058824,0.39999999999999997,89,17,9,19,8,98,134
7,main,0.03523980887081204,0.048624105265471486,0.04042324436463464,0,0,0,0,0,0,0
8,N1,0.0,0.0,0.0,1,0,0,0,0,134,134
9,OTHER,0.0,0.0,0.0,27,7,0,0,7,127,134
10,O1,0.0,0.0,0.0,1,1,0,0,1,133,134
11,NB5,0.0,0.0,0.0,4,1,0,0,1,133,134
12,NB4,0.0,0.0,0.0,1,0,0,0,0,134,134
13,NB3,0.0,0.0,0.0,3,1,0,0,1,133,134
14,NB1,0.0,0.0,0.0,21,1,0,0,1,133,134
15,MM8,0.0,0.0,0.0,8,1,0,0,1,133,134
16,MM9,0.0,0.0,0.0,15,2,0,0,2,132,134
17,PB6,0.0,0.0,0.0,6,3,0,0,3,131,134
18,MM7,0.0,0.0,0.0,24,4,0,0,4,130,134
19,MM6,0.0,0.0,0.0,20,4,0,0,4,130,134
20,MM5,0.0,0.0,0.0,18,5,0,0,5,129,134
21,MM4,0.0,0.0,0.0,14,5,0,0,5,129,134
22,MM3,0.0,0.0,0.0,8,3,0,0,3,131,134
23,MM2,0.0,0.0,0.0,6,2,0,0,2,132,134
24,MM1,0.0,0.0,0.0,32,6,0,0,6,128,134
25,PB1,0.0,0.0,0.0,6,2,0,0,2,132,134
26,PN6,0.0,0.0,0.0,1,0,0,0,0,134,134
27,PN1,0.0,0.0,0.0,1,0,0,0,0,134,134
28,SS2,0.0,0.0,0.0,2,0,0,0,0,134,134
29,W2,0.0,0.0,0.0,3,1,0,0,1,133,134
30,W1,0.0,0.0,0.0,4,1,0,0,1,133,134
31,T3,0.0,0.0,0.0,20,6,0,0,6,128,134
32,T2,0.0,0.0,0.0,4,0,0,0,0,134,134
33,T1,0.0,0.0,0.0,16,5,0,0,5,129,134
34,SS9,0.0,0.0,0.0,4,0,0,0,0,134,134
35,SS8,0.0,0.0,0.0,2,0,0,0,0,134,134
36,SS6,0.0,0.0,0.0,1,0,0,0,0,134,134
37,SS4,0.0,0.0,0.0,1,1,0,0,1,133,134
38,SS1,0.0,0.0,0.0,3,1,0,0,1,133,134
39,LL1,0.0,0.0,0.0,5,1,0,0,1,133,134
40,SP4,0.0,0.0,0.0,8,1,0,0,1,133,134
41,SP3,0.0,0.0,0.0,1,0,0,0,0,134,134
42,SP2,0.0,0.0,0.0,10,3,0,0,3,131,134
43,SA1,0.0,0.0,0.0,2,1,0,0,1,133,134
44,S2,0.0,0.0,0.0,1,0,0,0,0,134,134
45,RD7,0.0,0.0,0.0,1,0,0,0,0,134,134
46,RD2,0.0,0.0,0.0,1,0,0,0,0,134,134
47,RD1,0.0,0.0,0.0,2,2,0,0,2,132,134
48,R4,0.0,0.0,0.0,1,0,0,0,0,134,134
49,LL2,0.0,0.0,0.0,1,0,0,0,0,134,134
50,LI1F2,0.0,0.0,0.0,1,0,0,0,0,134,134
51,LITERACY,0.0,0.0,0.0,2,2,0,0,2,132,134
52,CP1,0.0,0.0,0.0,18,1,0,0,1,133,134
53,F3,0.0,0.0,0.0,9,4,0,0,4,130,134
54,F2,0.0,0.0,0.0,53,9,0,3,9,122,134
55,E1,0.0,0.0,0.0,1,0,0,0,0,134,134
56,D3,0.0,0.0,0.0,4,0,0,0,0,134,134
57,D2,0.0,0.0,0.0,10,3,0,0,3,131,134
58,CP5,0.0,0.0,0.0,35,7,0,0,7,127,134
59,CP4,0.0,0.0,0.0,12,4,0,0,4,130,134
60,CP2,0.0,0.0,0.0,12,3,0,0,3,131,134
61,CM1,0.0,0.0,0.0,3,0,0,0,0,134,134
62,F6,0.0,0.0,0.0,10,2,0,0,2,132,134
63,CC4,0.0,0.0,0.0,4,1,0,0,1,133,134
64,CC3,0.0,0.0,0.0,3,0,0,0,0,134,134
65,CC2,0.0,0.0,0.0,1,0,0,0,0,134,134
66,CC1,0.0,0.0,0.0,4,1,0,0,1,133,134
67,C1,0.0,0.0,0.0,1,0,0,0,0,134,134
68,AR9,0.0,0.0,0.0,1,0,0,0,0,134,134
69,AP3,0.0,0.0,0.0,5,0,0,0,0,134,134
70,AP2,0.0,0.0,0.0,3,1,0,0,1,133,134
71,F4,0.0,0.0,0.0,1,1,0,0,1,133,134
72,FC1,0.0,0.0,0.0,1,0,0,0,0,134,134
73,AP1,0.0,0.0,0.0,2,1,0,0,1,133,134
74,I3,0.0,0.0,0.0,10,4,0,0,4,130,134
75,L7,0.0,0.0,0.0,1,0,0,0,0,134,134
76,L3,0.0,0.0,0.0,1,1,0,0,1,133,134
77,L12,0.0,0.0,0.0,7,2,0,0,2,132,134
78,L1,0.0,0.0,0.0,23,3,0,0,3,131,134
79,I8,0.0,0.0,0.0,22,4,0,0,4,130,134
80,I7,0.0,0.0,0.0,34,10,0,2,10,122,134
81,I6,0.0,0.0,0.0,40,9,0,0,9,125,134
82,I5,0.0,0.0,0.0,17,7,0,0,7,127,134
83,I2,0.0,0.0,0.0,2,1,0,0,1,133,134
84,FP1,0.0,0.0,0.0,20,5,0,0,5,129,134
85,H3,0.0,0.0,0.0,2,1,0,0,1,133,134
86,H2,0.0,0.0,0.0,5,1,0,0,1,133,134
87,H1,0.0,0.0,0.0,1,0,0,0,0,134,134
88,FP6,0.0,0.0,0.0,14,4,0,0,4,130,134
89,FP5,0.0,0.0,0.0,34,10,0,0,10,124,134
90,FP4,0.0,0.0,0.0,2,0,0,0,0,134,134
91,FP3,0.0,0.0,0.0,4,1,0,0,1,133,134
92,FP2,0.0,0.0,0.0,15,6,0,0,6,128,134
93,W3,0.0,0.0,0.0,1,0,0,0,0,134,134
