,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,LI1,0.5040650406504065,0.9117647058823529,0.6492146596858638,348,68,62,61,6,5,134
1,I1,0.27611940298507465,1.0,0.43274853801169594,177,37,37,97,0,0,134
2,L2,0.2032520325203252,1.0,0.3378378378378379,82,25,25,98,0,11,134
3,CP2,0.022556390977443608,1.0,0.04411764705882353,12,3,3,130,0,1,134
4,main,0.010991968061665334,0.0635673624288425,0.01608792201193925,0,0,0,0,0,0,0
5,CC1,0.008130081300813009,1.0,0.01612903225806452,4,1,1,122,0,11,134
6,NB1,0.008130081300813009,1.0,0.01612903225806452,21,1,1,122,0,11,134
7,N1,0.0,0.0,0.0,1,0,0,0,0,134,134
8,PB1,0.0,0.0,0.0,6,2,0,0,2,132,134
9,OTHER,0.0,0.0,0.0,27,7,0,10,7,117,134
10,O1,0.0,0.0,0.0,1,1,0,0,1,133,134
11,NB5,0.0,0.0,0.0,4,1,0,0,1,133,134
12,NB4,0.0,0.0,0.0,1,0,0,0,0,134,134
13,NB3,0.0,0.0,0.0,3,1,0,0,1,133,134
14,MM8,0.0,0.0,0.0,8,1,0,0,1,133,134
15,MM9,0.0,0.0,0.0,15,2,0,11,2,121,134
16,PN1,0.0,0.0,0.0,1,0,0,0,0,134,134
17,MM7,0.0,0.0,0.0,24,4,0,1,4,129,134
18,MM6,0.0,0.0,0.0,20,4,0,1,4,129,134
19,MM5,0.0,0.0,0.0,18,5,0,11,5,118,134
20,MM4,0.0,0.0,0.0,14,5,0,0,5,129,134
21,MM3,0.0,0.0,0.0,8,3,0,0,3,131,134
22,MM2,0.0,0.0,0.0,6,2,0,0,2,132,134
23,MM1,0.0,0.0,0.0,32,6,0,1,6,127,134
24,PB6,0.0,0.0,0.0,6,3,0,0,3,131,134
25,R4,0.0,0.0,0.0,1,0,0,0,0,134,134
26,PN6,0.0,0.0,0.0,1,0,0,0,0,134,134
27,SS2,0.0,0.0,0.0,2,0,0,0,0,134,134
28,W2,0.0,0.0,0.0,3,1,0,0,1,133,134
29,W1,0.0,0.0,0.0,4,1,0,0,1,133,134
30,T3,0.0,0.0,0.0,20,6,0,0,6,128,134
31,T2,0.0,0.0,0.0,4,0,0,0,0,134,134
32,T1,0.0,0.0,0.0,16,5,0,0,5,129,134
33,SS9,0.0,0.0,0.0,4,0,0,0,0,134,134
34,SS8,0.0,0.0,0.0,2,0,0,0,0,134,134
35,SS6,0.0,0.0,0.0,1,0,0,0,0,134,134
36,SS4,0.0,0.0,0.0,1,1,0,0,1,133,134
37,SS1,0.0,0.0,0.0,3,1,0,0,1,133,134
38,LL1,0.0,0.0,0.0,5,1,0,0,1,133,134
39,SP4,0.0,0.0,0.0,8,1,0,0,1,133,134
40,SP3,0.0,0.0,0.0,1,0,0,0,0,134,134
41,SP2,0.0,0.0,0.0,10,3,0,0,3,131,134
42,SP1,0.0,0.0,0.0,89,17,0,0,17,117,134
43,SA1,0.0,0.0,0.0,2,1,0,0,1,133,134
44,S2,0.0,0.0,0.0,1,0,0,0,0,134,134
45,RD7,0.0,0.0,0.0,1,0,0,0,0,134,134
46,RD2,0.0,0.0,0.0,1,0,0,0,0,134,134
47,RD1,0.0,0.0,0.0,2,2,0,0,2,132,134
48,LL2,0.0,0.0,0.0,1,0,0,0,0,134,134
49,LI1F2,0.0,0.0,0.0,1,0,0,0,0,134,134
50,LITERACY,0.0,0.0,0.0,2,2,0,0,2,132,134
51,LI2,0.0,0.0,0.0,72,17,0,0,17,117,134
52,F4,0.0,0.0,0.0,1,1,0,0,1,133,134
53,F3,0.0,0.0,0.0,9,4,0,0,4,130,134
54,F2,0.0,0.0,0.0,53,9,0,11,9,114,134
55,F1,0.0,0.0,0.0,149,35,0,11,35,88,134
56,E1,0.0,0.0,0.0,1,0,0,0,0,134,134
57,D3,0.0,0.0,0.0,4,0,0,0,0,134,134
58,D2,0.0,0.0,0.0,10,3,0,0,3,131,134
59,CP5,0.0,0.0,0.0,35,7,0,0,7,127,134
60,CP4,0.0,0.0,0.0,12,4,0,0,4,130,134
61,CP1,0.0,0.0,0.0,18,1,0,11,1,122,134
62,CM1,0.0,0.0,0.0,3,0,0,0,0,134,134
63,CM,0.0,0.0,0.0,295,58,0,0,58,76,134
64,CC4,0.0,0.0,0.0,4,1,0,0,1,133,134
65,CC3,0.0,0.0,0.0,3,0,0,0,0,134,134
66,CC2,0.0,0.0,0.0,1,0,0,0,0,134,134
67,C1,0.0,0.0,0.0,1,0,0,0,0,134,134
68,AR9,0.0,0.0,0.0,1,0,0,0,0,134,134
69,AP3,0.0,0.0,0.0,5,0,0,0,0,134,134
70,AP2,0.0,0.0,0.0,3,1,0,0,1,133,134
71,F6,0.0,0.0,0.0,10,2,0,1,2,131,134
72,FC1,0.0,0.0,0.0,1,0,0,0,0,134,134
73,FP1,0.0,0.0,0.0,20,5,0,1,5,128,134
74,I5,0.0,0.0,0.0,17,7,0,0,7,127,134
75,AP1,0.0,0.0,0.0,2,1,0,0,1,133,134
76,L7,0.0,0.0,0.0,1,0,0,0,0,134,134
77,L3,0.0,0.0,0.0,1,1,0,0,1,133,134
78,L12,0.0,0.0,0.0,7,2,0,0,2,132,134
79,L1,0.0,0.0,0.0,23,3,0,10,3,121,134
80,I8,0.0,0.0,0.0,22,4,0,11,4,119,134
81,I7,0.0,0.0,0.0,34,10,0,11,10,113,134
82,I6,0.0,0.0,0.0,40,9,0,11,9,114,134
83,I3,0.0,0.0,0.0,10,4,0,0,4,130,134
84,FP2,0.0,0.0,0.0,15,6,0,11,6,117,134
85,I2,0.0,0.0,0.0,2,1,0,0,1,133,134
86,H3,0.0,0.0,0.0,2,1,0,0,1,133,134
87,H2,0.0,0.0,0.0,5,1,0,0,1,133,134
88,H1,0.0,0.0,0.0,1,0,0,0,0,134,134
89,FP6,0.0,0.0,0.0,14,4,0,11,4,119,134
90,FP5,0.0,0.0,0.0,34,10,0,11,10,113,134
91,FP4,0.0,0.0,0.0,2,0,0,0,0,134,134
92,FP3,0.0,0.0,0.0,4,1,0,0,1,133,134
93,W3,0.0,0.0,0.0,1,0,0,0,0,134,134
