,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,LI1,0.7966101694915254,0.6911764705882353,0.7401574803149606,348,68,47,12,21,54,134
1,CM,0.7567567567567568,0.9655172413793104,0.8484848484848485,295,58,56,18,2,58,134
2,L2,0.5,0.12,0.1935483870967742,82,25,3,3,22,106,134
3,F1,0.46153846153846156,0.17142857142857143,0.25000000000000006,149,35,6,7,29,92,134
4,I1,0.35294117647058826,0.16216216216216217,0.22222222222222227,177,37,6,11,31,86,134
5,LI2,0.27586206896551724,0.47058823529411764,0.34782608695652173,72,17,8,21,9,96,134
6,main,0.03380331863680483,0.027751319148950505,0.02798106478575621,0,0,0,0,0,0,0
7,N1,0.0,0.0,0.0,1,0,0,0,0,134,134
8,PB1,0.0,0.0,0.0,6,2,0,0,2,132,134
9,OTHER,0.0,0.0,0.0,27,7,0,0,7,127,134
10,O1,0.0,0.0,0.0,1,1,0,0,1,133,134
11,NB5,0.0,0.0,0.0,4,1,0,0,1,133,134
12,NB4,0.0,0.0,0.0,1,0,0,0,0,134,134
13,NB3,0.0,0.0,0.0,3,1,0,0,1,133,134
14,NB1,0.0,0.0,0.0,21,1,0,0,1,133,134
15,MM8,0.0,0.0,0.0,8,1,0,0,1,133,134
16,MM9,0.0,0.0,0.0,15,2,0,0,2,132,134
17,PN1,0.0,0.0,0.0,1,0,0,0,0,134,134
18,MM7,0.0,0.0,0.0,24,4,0,0,4,130,134
19,MM6,0.0,0.0,0.0,20,4,0,0,4,130,134
20,MM5,0.0,0.0,0.0,18,5,0,0,5,129,134
21,MM4,0.0,0.0,0.0,14,5,0,0,5,129,134
22,MM3,0.0,0.0,0.0,8,3,0,0,3,131,134
23,MM2,0.0,0.0,0.0,6,2,0,0,2,132,134
24,MM1,0.0,0.0,0.0,32,6,0,0,6,128,134
25,PB6,0.0,0.0,0.0,6,3,0,0,3,131,134
26,PN6,0.0,0.0,0.0,1,0,0,0,0,134,134
27,LL1,0.0,0.0,0.0,5,1,0,0,1,133,134
28,SS2,0.0,0.0,0.0,2,0,0,0,0,134,134
29,W2,0.0,0.0,0.0,3,1,0,0,1,133,134
30,W1,0.0,0.0,0.0,4,1,0,0,1,133,134
31,T3,0.0,0.0,0.0,20,6,0,0,6,128,134
32,T2,0.0,0.0,0.0,4,0,0,0,0,134,134
33,T1,0.0,0.0,0.0,16,5,0,0,5,129,134
34,SS9,0.0,0.0,0.0,4,0,0,0,0,134,134
35,SS8,0.0,0.0,0.0,2,0,0,0,0,134,134
36,SS6,0.0,0.0,0.0,1,0,0,0,0,134,134
37,SS4,0.0,0.0,0.0,1,1,0,0,1,133,134
38,SS1,0.0,0.0,0.0,3,1,0,0,1,133,134
39,R4,0.0,0.0,0.0,1,0,0,0,0,134,134
40,SP4,0.0,0.0,0.0,8,1,0,0,1,133,134
41,SP3,0.0,0.0,0.0,1,0,0,0,0,134,134
42,SP2,0.0,0.0,0.0,10,3,0,0,3,131,134
43,SP1,0.0,0.0,0.0,89,17,0,2,17,115,134
44,SA1,0.0,0.0,0.0,2,1,0,0,1,133,134
45,S2,0.0,0.0,0.0,1,0,0,0,0,134,134
46,RD7,0.0,0.0,0.0,1,0,0,0,0,134,134
47,RD2,0.0,0.0,0.0,1,0,0,0,0,134,134
48,RD1,0.0,0.0,0.0,2,2,0,0,2,132,134
49,LL2,0.0,0.0,0.0,1,0,0,0,0,134,134
50,LI1F2,0.0,0.0,0.0,1,0,0,0,0,134,134
51,LITERACY,0.0,0.0,0.0,2,2,0,0,2,132,134
52,CP1,0.0,0.0,0.0,18,1,0,0,1,133,134
53,F3,0.0,0.0,0.0,9,4,0,0,4,130,134
54,F2,0.0,0.0,0.0,53,9,0,0,9,125,134
55,E1,0.0,0.0,0.0,1,0,0,0,0,134,134
56,D3,0.0,0.0,0.0,4,0,0,0,0,134,134
57,D2,0.0,0.0,0.0,10,3,0,0,3,131,134
58,CP5,0.0,0.0,0.0,35,7,0,0,7,127,134
59,CP4,0.0,0.0,0.0,12,4,0,0,4,130,134
60,CP2,0.0,0.0,0.0,12,3,0,0,3,131,134
61,CM1,0.0,0.0,0.0,3,0,0,0,0,134,134
62,F6,0.0,0.0,0.0,10,2,0,0,2,132,134
63,CC4,0.0,0.0,0.0,4,1,0,0,1,133,134
64,CC3,0.0,0.0,0.0,3,0,0,0,0,134,134
65,CC2,0.0,0.0,0.0,1,0,0,0,0,134,134
66,CC1,0.0,0.0,0.0,4,1,0,0,1,133,134
67,C1,0.0,0.0,0.0,1,0,0,0,0,134,134
68,AR9,0.0,0.0,0.0,1,0,0,0,0,134,134
69,AP3,0.0,0.0,0.0,5,0,0,0,0,134,134
70,AP2,0.0,0.0,0.0,3,1,0,0,1,133,134
71,F4,0.0,0.0,0.0,1,1,0,0,1,133,134
72,FC1,0.0,0.0,0.0,1,0,0,0,0,134,134
73,AP1,0.0,0.0,0.0,2,1,0,0,1,133,134
74,I3,0.0,0.0,0.0,10,4,0,0,4,130,134
75,L7,0.0,0.0,0.0,1,0,0,0,0,134,134
76,L3,0.0,0.0,0.0,1,1,0,0,1,133,134
77,L12,0.0,0.0,0.0,7,2,0,0,2,132,134
78,L1,0.0,0.0,0.0,23,3,0,0,3,131,134
79,I8,0.0,0.0,0.0,22,4,0,0,4,130,134
80,I7,0.0,0.0,0.0,34,10,0,0,10,124,134
81,I6,0.0,0.0,0.0,40,9,0,1,9,124,134
82,I5,0.0,0.0,0.0,17,7,0,0,7,127,134
83,I2,0.0,0.0,0.0,2,1,0,0,1,133,134
84,FP1,0.0,0.0,0.0,20,5,0,0,5,129,134
85,H3,0.0,0.0,0.0,2,1,0,0,1,133,134
86,H2,0.0,0.0,0.0,5,1,0,0,1,133,134
87,H1,0.0,0.0,0.0,1,0,0,0,0,134,134
88,FP6,0.0,0.0,0.0,14,4,0,0,4,130,134
89,FP5,0.0,0.0,0.0,34,10,0,0,10,124,134
90,FP4,0.0,0.0,0.0,2,0,0,0,0,134,134
91,FP3,0.0,0.0,0.0,4,1,0,0,1,133,134
92,FP2,0.0,0.0,0.0,15,6,0,0,6,128,134
93,W3,0.0,0.0,0.0,1,0,0,0,0,134,134
