,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,D2,1.0,0.3333333333333333,0.5,10,3,1,0,2,131,134
1,CM,0.7424242424242424,0.8448275862068966,0.7903225806451614,295,58,49,17,9,59,134
2,LI1,0.726027397260274,0.7794117647058824,0.75177304964539,348,68,53,20,15,46,134
3,L2,0.5,0.28,0.358974358974359,82,25,7,7,18,102,134
4,I7,0.3333333333333333,0.1,0.15384615384615383,34,10,1,2,9,122,134
5,I6,0.3333333333333333,0.1111111111111111,0.16666666666666666,40,9,1,2,8,123,134
6,I1,0.3103448275862069,0.24324324324324326,0.27272727272727276,177,37,9,20,28,77,134
7,F1,0.2608695652173913,0.17142857142857143,0.20689655172413796,149,35,6,17,29,82,134
8,SP1,0.25,0.11764705882352941,0.15999999999999998,89,17,2,6,15,111,134
9,main,0.04791755590489013,0.03205379213819965,0.036142006819668185,0,0,0,0,0,0,0
10,MM7,0.0,0.0,0.0,24,4,0,0,4,130,134
11,MM3,0.0,0.0,0.0,8,3,0,0,3,131,134
12,OTHER,0.0,0.0,0.0,27,7,0,3,7,124,134
13,O1,0.0,0.0,0.0,1,1,0,0,1,133,134
14,NB5,0.0,0.0,0.0,4,1,0,0,1,133,134
15,NB4,0.0,0.0,0.0,1,0,0,0,0,134,134
16,MM2,0.0,0.0,0.0,6,2,0,0,2,132,134
17,NB3,0.0,0.0,0.0,3,1,0,0,1,133,134
18,MM4,0.0,0.0,0.0,14,5,0,0,5,129,134
19,MM8,0.0,0.0,0.0,8,1,0,0,1,133,134
20,NB1,0.0,0.0,0.0,21,1,0,1,1,132,134
21,MM5,0.0,0.0,0.0,18,5,0,1,5,128,134
22,N1,0.0,0.0,0.0,1,0,0,0,0,134,134
23,MM6,0.0,0.0,0.0,20,4,0,0,4,130,134
24,PB6,0.0,0.0,0.0,6,3,0,0,3,131,134
25,MM9,0.0,0.0,0.0,15,2,0,0,2,132,134
26,PB1,0.0,0.0,0.0,6,2,0,0,2,132,134
27,R4,0.0,0.0,0.0,1,0,0,0,0,134,134
28,PN1,0.0,0.0,0.0,1,0,0,0,0,134,134
29,SS2,0.0,0.0,0.0,2,0,0,0,0,134,134
30,W2,0.0,0.0,0.0,3,1,0,0,1,133,134
31,W1,0.0,0.0,0.0,4,1,0,0,1,133,134
32,T3,0.0,0.0,0.0,20,6,0,1,6,127,134
33,T2,0.0,0.0,0.0,4,0,0,0,0,134,134
34,T1,0.0,0.0,0.0,16,5,0,0,5,129,134
35,SS9,0.0,0.0,0.0,4,0,0,0,0,134,134
36,SS8,0.0,0.0,0.0,2,0,0,0,0,134,134
37,SS6,0.0,0.0,0.0,1,0,0,0,0,134,134
38,SS4,0.0,0.0,0.0,1,1,0,0,1,133,134
39,SS1,0.0,0.0,0.0,3,1,0,0,1,133,134
40,PN6,0.0,0.0,0.0,1,0,0,0,0,134,134
41,SP4,0.0,0.0,0.0,8,1,0,0,1,133,134
42,SP3,0.0,0.0,0.0,1,0,0,0,0,134,134
43,SP2,0.0,0.0,0.0,10,3,0,0,3,131,134
44,SA1,0.0,0.0,0.0,2,1,0,0,1,133,134
45,S2,0.0,0.0,0.0,1,0,0,0,0,134,134
46,RD7,0.0,0.0,0.0,1,0,0,0,0,134,134
47,RD2,0.0,0.0,0.0,1,0,0,0,0,134,134
48,RD1,0.0,0.0,0.0,2,2,0,0,2,132,134
49,LL2,0.0,0.0,0.0,1,0,0,0,0,134,134
50,MM1,0.0,0.0,0.0,32,6,0,0,6,128,134
