,Label,Precision,Recall,F-Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count
0,LI1,0.7536231884057971,0.7647058823529411,0.759124087591241,348,68,52,17,16,49,134
1,CM,0.6867469879518072,0.9827586206896551,0.8085106382978723,295,58,57,26,1,50,134
2,I1,0.3333333333333333,0.02702702702702703,0.05,177,37,1,2,36,95,134
3,main,0.019072080749364922,0.019080554086770143,0.017393921783753905,0,0,0,0,0,0,0
4,MM9,0.0,0.0,0.0,15,2,0,0,2,132,134
5,PB1,0.0,0.0,0.0,6,2,0,0,2,132,134
6,OTHER,0.0,0.0,0.0,27,7,0,0,7,127,134
7,O1,0.0,0.0,0.0,1,1,0,0,1,133,134
8,NB5,0.0,0.0,0.0,4,1,0,0,1,133,134
9,NB4,0.0,0.0,0.0,1,0,0,0,0,134,134
10,NB3,0.0,0.0,0.0,3,1,0,0,1,133,134
11,NB1,0.0,0.0,0.0,21,1,0,0,1,133,134
12,N1,0.0,0.0,0.0,1,0,0,0,0,134,134
13,MM8,0.0,0.0,0.0,8,1,0,0,1,133,134
14,PN1,0.0,0.0,0.0,1,0,0,0,0,134,134
15,MM7,0.0,0.0,0.0,24,4,0,0,4,130,134
16,MM6,0.0,0.0,0.0,20,4,0,0,4,130,134
17,MM5,0.0,0.0,0.0,18,5,0,0,5,129,134
18,MM4,0.0,0.0,0.0,14,5,0,0,5,129,134
19,MM3,0.0,0.0,0.0,8,3,0,0,3,131,134
20,MM2,0.0,0.0,0.0,6,2,0,0,2,132,134
21,MM1,0.0,0.0,0.0,32,6,0,0,6,128,134
22,LL2,0.0,0.0,0.0,1,0,0,0,0,134,134
23,PB6,0.0,0.0,0.0,6,3,0,0,3,131,134
24,PN6,0.0,0.0,0.0,1,0,0,0,0,134,134
25,LITERACY,0.0,0.0,0.0,2,2,0,0,2,132,134
26,SS2,0.0,0.0,0.0,2,0,0,0,0,134,134
27,W2,0.0,0.0,0.0,3,1,0,0,1,133,134
28,W1,0.0,0.0,0.0,4,1,0,0,1,133,134
29,T3,0.0,0.0,0.0,20,6,0,0,6,128,134
30,T2,0.0,0.0,0.0,4,0,0,0,0,134,134
31,T1,0.0,0.0,0.0,16,5,0,0,5,129,134
32,SS9,0.0,0.0,0.0,4,0,0,0,0,134,134
33,SS8,0.0,0.0,0.0,2,0,0,0,0,134,134
34,SS6,0.0,0.0,0.0,1,0,0,0,0,134,134
35,SS4,0.0,0.0,0.0,1,1,0,0,1,133,134
36,SS1,0.0,0.0,0.0,3,1,0,0,1,133,134
37,R4,0.0,0.0,0.0,1,0,0,0,0,134,134
38,SP4,0.0,0.0,0.0,8,1,0,0,1,133,134
39,SP3,0.0,0.0,0.0,1,0,0,0,0,134,134
40,SP2,0.0,0.0,0.0,10,3,0,0,3,131,134
41,SP1,0.0,0.0,0.0,89,17,0,0,17,117,134
42,SA1,0.0,0.0,0.0,2,1,0,0,1,133,134
43,S2,0.0,0.0,0.0,1,0,0,0,0,134,134
44,RD7,0.0,0.0,0.0,1,0,0,0,0,134,134
45,RD2,0.0,0.0,0.0,1,0,0,0,0,134,134
46,RD1,0.0,0.0,0.0,2,2,0,0,2,132,134
47,LL1,0.0,0.0,0.0,5,1,0,0,1,133,134
48,LI1F2,0.0,0.0,0.0,1,0,0,0,0,134,134
49,LI2,0.0,0.0,0.0,72,17,0,0,17,117,134
50,F6,0.0,0.0,0.0,10,2,0,0,2,132,134
51,F3,0.0,0.0,0.0,9,4,0,0,4,130,134
52,F2,0.0,0.0,0.0,53,9,0,0,9,125,134
53,F1,0.0,0.0,0.0,149,35,0,0,35,99,134
54,E1,0.0,0.0,0.0,1,0,0,0,0,134,134
55,D3,0.0,0.0,0.0,4,0,0,0,0,134,134
56,D2,0.0,0.0,0.0,10,3,0,0,3,131,134
57,CP5,0.0,0.0,0.0,35,7,0,0,7,127,134
58,CP4,0.0,0.0,0.0,12,4,0,0,4,130,134
59,CP2,0.0,0.0,0.0,12,3,0,0,3,131,134
60,CP1,0.0,0.0,0.0,18,1,0,0,1,133,134
61,CM1,0.0,0.0,0.0,3,0,0,0,0,134,134
62,CC4,0.0,0.0,0.0,4,1,0,0,1,133,134
63,CC3,0.0,0.0,0.0,3,0,0,0,0,134,134
64,CC2,0.0,0.0,0.0,1,0,0,0,0,134,134
65,CC1,0.0,0.0,0.0,4,1,0,0,1,133,134
66,C1,0.0,0.0,0.0,1,0,0,0,0,134,134
67,AR9,0.0,0.0,0.0,1,0,0,0,0,134,134
68,AP3,0.0,0.0,0.0,5,0,0,0,0,134,134
69,AP2,0.0,0.0,0.0,3,1,0,0,1,133,134
70,F4,0.0,0.0,0.0,1,1,0,0,1,133,134
71,FC1,0.0,0.0,0.0,1,0,0,0,0,134,134
72,AP1,0.0,0.0,0.0,2,1,0,0,1,133,134
73,FP1,0.0,0.0,0.0,20,5,0,0,5,129,134
74,L7,0.0,0.0,0.0,1,0,0,0,0,134,134
75,L3,0.0,0.0,0.0,1,1,0,0,1,133,134
76,L2,0.0,0.0,0.0,82,25,0,0,25,109,134
77,L12,0.0,0.0,0.0,7,2,0,0,2,132,134
78,L1,0.0,0.0,0.0,23,3,0,0,3,131,134
79,I8,0.0,0.0,0.0,22,4,0,0,4,130,134
80,I7,0.0,0.0,0.0,34,10,0,0,10,124,134
81,I6,0.0,0.0,0.0,40,9,0,0,9,125,134
82,I5,0.0,0.0,0.0,17,7,0,0,7,127,134
83,I3,0.0,0.0,0.0,10,4,0,0,4,130,134
84,I2,0.0,0.0,0.0,2,1,0,0,1,133,134
85,H3,0.0,0.0,0.0,2,1,0,0,1,133,134
