,Unnamed: 0,Label,Precision,Recall,F_Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count,algorithm,label_algorithm
0,0,LI1,0.8484848484848485,0.717948717948718,0.7777777777777778,348,39,28,5,11,23,67,BR_NB,BR_NB_LI1
1,1,LI1,0.8095238095238095,0.5666666666666667,0.6666666666666666,348,30,17,4,13,33,67,BR_NB,BR_NB_LI1
2,2,LI1,0.8518518518518519,0.6571428571428571,0.7419354838709677,348,35,23,4,12,28,67,BR_NB,BR_NB_LI1
3,3,LI1,0.7741935483870968,0.6486486486486487,0.7058823529411764,348,37,24,7,13,23,67,BR_NB,BR_NB_LI1
4,4,LI1,0.896551724137931,0.7222222222222222,0.7999999999999999,348,36,26,3,10,28,67,BR_NB,BR_NB_LI1
5,5,LI1,0.8928571428571429,0.625,0.7352941176470589,348,40,25,3,15,24,67,BR_NB,BR_NB_LI1
6,6,LI1,0.7692307692307693,0.7142857142857143,0.7407407407407408,348,28,20,6,8,32,66,BR_NB,BR_NB_LI1
7,7,LI1,0.8181818181818182,0.5,0.6206896551724137,348,36,18,4,18,26,66,BR_NB,BR_NB_LI1
8,8,LI1,0.7741935483870968,0.7058823529411765,0.7384615384615385,348,34,24,7,10,25,66,BR_NB,BR_NB_LI1
9,9,LI1,0.7037037037037037,0.5757575757575758,0.6333333333333334,348,33,19,8,14,25,66,BR_NB,BR_NB_LI1
10,10,CM,0.7666666666666667,0.9583333333333334,0.8518518518518519,295,24,23,7,1,36,67,BR_NB,BR_NB_CM
11,11,CM,0.9210526315789472,0.8333333333333334,0.875,295,42,35,3,7,22,67,BR_NB,BR_NB_CM
12,12,CM,0.8461538461538461,1.0,0.9166666666666666,295,33,33,6,0,28,67,BR_NB,BR_NB_CM
13,13,CM,0.6285714285714286,0.9565217391304348,0.7586206896551724,295,23,22,13,1,31,67,BR_NB,BR_NB_CM
14,14,CM,0.7027027027027027,1.0,0.8253968253968255,295,26,26,11,0,30,67,BR_NB,BR_NB_CM
15,15,CM,0.631578947368421,1.0,0.7741935483870968,295,24,24,14,0,29,67,BR_NB,BR_NB_CM
16,16,CM,0.7692307692307693,0.967741935483871,0.8571428571428572,295,31,30,9,1,26,66,BR_NB,BR_NB_CM
17,17,CM,0.7073170731707317,0.90625,0.7945205479452054,295,32,29,12,3,22,66,BR_NB,BR_NB_CM
18,18,CM,0.7647058823529411,0.9629629629629628,0.8524590163934426,295,27,26,8,1,31,66,BR_NB,BR_NB_CM
19,19,CM,0.8421052631578947,0.9696969696969696,0.9014084507042254,295,33,32,6,1,27,66,BR_NB,BR_NB_CM
20,20,I1,0.375,0.5,0.4285714285714285,177,18,9,15,9,34,67,BR_NB,BR_NB_I1
21,21,I1,0.3461538461538461,0.5,0.409090909090909,177,18,9,17,9,32,67,BR_NB,BR_NB_I1
22,22,I1,0.3548387096774194,0.6875,0.4680851063829787,177,16,11,20,5,31,67,BR_NB,BR_NB_I1
23,23,I1,0.5416666666666666,0.6190476190476191,0.5777777777777778,177,21,13,11,8,35,67,BR_NB,BR_NB_I1
24,24,I1,0.4074074074074074,0.55,0.4680851063829787,177,20,11,16,9,31,67,BR_NB,BR_NB_I1
25,25,I1,0.2307692307692307,0.375,0.2857142857142857,177,16,6,20,10,31,67,BR_NB,BR_NB_I1
26,26,I1,0.3333333333333333,0.6875,0.4489795918367347,177,16,11,22,5,28,66,BR_NB,BR_NB_I1
27,27,I1,0.3,0.5294117647058824,0.3829787234042553,177,17,9,21,8,28,66,BR_NB,BR_NB_I1
28,28,I1,0.4,0.75,0.5217391304347827,177,16,12,18,4,32,66,BR_NB,BR_NB_I1
29,29,I1,0.5,0.7894736842105263,0.6122448979591837,177,19,15,15,4,32,66,BR_NB,BR_NB_I1
30,30,F1,0.3181818181818182,0.7,0.4375,149,10,7,15,3,42,67,BR_NB,BR_NB_F1
31,31,F1,0.25,0.3125,0.2777777777777778,149,16,5,15,11,36,67,BR_NB,BR_NB_F1
32,32,F1,0.3333333333333333,0.7272727272727273,0.4571428571428572,149,11,8,16,3,40,67,BR_NB,BR_NB_F1
33,33,F1,0.5,0.5714285714285714,0.5333333333333333,149,21,12,12,9,34,67,BR_NB,BR_NB_F1
34,34,F1,0.1153846153846153,0.3333333333333333,0.1714285714285714,149,9,3,23,6,35,67,BR_NB,BR_NB_F1
35,35,F1,0.2941176470588235,0.3333333333333333,0.3125,149,15,5,12,10,40,67,BR_NB,BR_NB_F1
36,36,F1,0.24,0.4615384615384615,0.3157894736842105,149,13,6,19,7,34,66,BR_NB,BR_NB_F1
37,37,F1,0.7142857142857143,0.4545454545454545,0.5555555555555556,149,22,10,4,12,40,66,BR_NB,BR_NB_F1
38,38,F1,0.25,0.5,0.3333333333333333,149,12,6,18,6,36,66,BR_NB,BR_NB_F1
39,39,F1,0.3333333333333333,0.4,0.3636363636363636,149,20,8,16,12,30,66,BR_NB,BR_NB_F1
40,40,SP1,0.2142857142857142,0.75,0.3333333333333333,89,8,6,22,2,37,67,BR_NB,BR_NB_SP1
41,41,SP1,0.3529411764705882,0.6666666666666666,0.4615384615384615,89,9,6,11,3,47,67,BR_NB,BR_NB_SP1
42,42,SP1,0.3461538461538461,0.8181818181818182,0.4864864864864865,89,11,9,17,2,39,67,BR_NB,BR_NB_SP1
43,43,SP1,0.2142857142857142,0.75,0.3333333333333333,89,8,6,22,2,37,67,BR_NB,BR_NB_SP1
44,44,SP1,0.4615384615384615,0.9230769230769232,0.6153846153846155,89,13,12,14,1,40,67,BR_NB,BR_NB_SP1
45,45,SP1,0.2916666666666667,0.875,0.4375,89,8,7,17,1,42,67,BR_NB,BR_NB_SP1
46,46,SP1,0.28,1.0,0.4375,89,7,7,18,0,41,66,BR_NB,BR_NB_SP1
47,47,SP1,0.3636363636363636,0.8,0.5000000000000001,89,10,8,14,2,42,66,BR_NB,BR_NB_SP1
48,48,SP1,0.2083333333333333,0.625,0.3125,89,8,5,19,3,39,66,BR_NB,BR_NB_SP1
49,49,SP1,0.2307692307692307,0.8571428571428571,0.3636363636363636,89,7,6,20,1,39,66,BR_NB,BR_NB_SP1
