,Unnamed: 0,Label,Precision,Recall,F_Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count,algorithm,label_algorithm
0,0,LI1,0.8138772764746068,0.6433554755613579,0.7160781666611673,348,34.8,22.4,5.1,12.4,26.7,66.6,BR_NB,BR_NB_LI1
1,1,CM,0.7580085210954348,0.9554840273940904,0.8407260454143343,295,29.5,28.0,8.9,1.5,28.2,66.6,BR_NB,BR_NB_CM
2,2,I1,0.3789169194007904,0.5987933067964029,0.4603266957555315,177,17.7,10.6,17.5,7.1,31.4,66.6,BR_NB,BR_NB_I1
3,3,L2,0.3349581529581529,0.7884018759018758,0.4569870832536539,82,8.200000000000001,6.4,13.0,1.8,45.4,66.6,BR_NB,BR_NB_L2
4,4,F1,0.3348636461577638,0.4793951881451882,0.3757997265892003,149,14.9,7.0,15.0,7.9,36.7,66.6,BR_NB,BR_NB_F1
5,5,SP1,0.29636105071399194,0.8065068265068265,0.4281212593712594,89,8.9,7.2,17.4,1.7,40.3,66.6,BR_NB,BR_NB_SP1
6,6,LI2,0.24824172680866044,0.755,0.3694180980310012,72,7.199999999999998,5.3,11.7,1.9,47.7,66.6,BR_NB,BR_NB_LI2
7,7,I7,0.17277978557390322,0.6066666666666666,0.2640768160811236,34,3.4000000000000004,2.2,9.8,1.2,53.4,66.6,BR_NB,BR_NB_I7
8,8,I8,0.16444444444444445,0.2533333333333333,0.15564213564213564,22,2.2,0.5,4.8,1.7,59.6,66.6,BR_NB,BR_NB_I8
9,9,FP5,0.13674639086403792,0.4566666666666666,0.2064614504488646,34,3.4000000000000004,1.8,10.4,1.6,52.8,66.6,BR_NB,BR_NB_FP5
10,10,MM7,0.12955239205239205,0.6166666666666667,0.21086302586302585,24,2.4,1.7,8.9,0.7,55.3,66.6,BR_NB,BR_NB_MM7
11,11,CP5,0.12952058906006275,0.62,0.21031884120725147,35,3.5,2.2,14.0,1.3,49.1,66.6,BR_NB,BR_NB_CP5
12,12,I6,0.12886788048552755,0.5252380952380953,0.19602827255304034,40,4.0,1.9,12.3,2.1,50.3,66.6,BR_NB,BR_NB_I6
13,13,F2,0.122103890261785,0.455952380952381,0.17542244390070474,53,5.300000000000002,2.1,15.2,3.2,46.1,66.6,BR_NB,BR_NB_F2
14,14,MM9,0.1161111111111111,0.3333333333333333,0.1656177156177156,15,1.5,0.7,5.6,0.8,59.5,66.6,BR_NB,BR_NB_MM9
15,15,MM6,0.10666666666666666,0.4666666666666666,0.1666200466200466,20,2.0,1.0,7.0,1.0,57.6,66.6,BR_NB,BR_NB_MM6
16,16,MM5,0.10465007215007212,0.36666666666666653,0.1561976911976912,18,1.8,0.8,5.9,1.0,58.9,66.6,BR_NB,BR_NB_MM5
17,17,FP6,0.06805555555555556,0.24166666666666664,0.10170940170940172,14,1.4,0.6,5.2,0.8,60.0,66.6,BR_NB,BR_NB_FP6
18,18,CP4,0.06523809523809522,0.45,0.11215728715728716,12,1.2,0.5,4.8,0.7,60.6,66.6,BR_NB,BR_NB_CP4
19,19,MM1,0.06340659340659341,0.19166666666666665,0.09283613445378153,32,3.2,0.6,7.4,2.6,56.0,66.6,BR_NB,BR_NB_MM1
20,20,T3,0.05593434343434344,0.4400000000000001,0.08760822773045145,20,2.0,0.8,13.7,1.2,50.9,66.6,BR_NB,BR_NB_T3
21,21,main,0.05318606982164927,0.12815190512361524,0.06737851238079941,0,0.0,0.0,0.0,0.0,0.0,0.0,BR_NB,BR_NB_main
22,22,FP1,0.05,0.05,0.05,20,2.0,0.1,1.6,1.9,63.0,66.6,BR_NB,BR_NB_FP1
23,23,FP2,0.046886446886446886,0.175,0.07279411764705881,15,1.5,0.5,8.0,1.0,57.1,66.6,BR_NB,BR_NB_FP2
24,24,I3,0.0325,0.15,0.053333333333333344,10,1.0,0.2,3.5,0.8,62.1,66.6,BR_NB,BR_NB_I3
25,25,NB1,0.02666666666666666,0.075,0.03666666666666667,21,2.1,0.2,5.5,1.9,59.0,66.6,BR_NB,BR_NB_NB1
26,26,F3,0.0225,0.2,0.0404040404040404,9,0.8999999999999999,0.3,6.6,0.6,59.1,66.6,BR_NB,BR_NB_F3
27,27,I5,0.018803418803418803,0.08333333333333333,0.030000000000000006,17,1.7,0.2,5.0,1.5,59.9,66.6,BR_NB,BR_NB_I5
28,28,D2,0.0125,0.1,0.02222222222222222,10,1.0,0.1,4.6,0.9,61.0,66.6,BR_NB,BR_NB_D2
